НА ЗЕМЛЯХ ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ,Озимой ржи и пшеницы,Яровой ржи,Яровой пшеницы,Овса
Красноярского округа,5 565,39 431,22 073,44 474
Енисейского,11 040,6 829,5 849,15 045
Канского,21 701,12 556,9 142,24 273
Минусинского,7 069,47 510,34 782,35 802
Ачинского,18 837,22 779,18 843,25 417
На землях городских,97,2 200,2 927,1 1 939
ИТОГО,64 309,131 305,93 616,146 950
В том числе,Озимой ржи и пшеницы,,,
"У поселенцев, купцов, мещан и других сословий",4 356,—,—,—
У оседлых инородцев,1 620,—,—,—
У крестьян,58 333,—,—,—
