Ячменя,Гречухи,Остальных яровых хлебов,Картофеля,Озимой ржи и пшеницы,Яровой ржи,Яровой пшеницы,Овса,Ячменя,Гречухи,Остальных яровых хлебов,Картофеля
4 383,123,503,2 974,32 745,95 764,40 252,134 356,9 642,4 002,938,22 594
1 791,83,—,2 373,50 502,23 928,15 847,57 912,6 338,410,—,14 737
5 254,540,603,7 372,135 693,31 778,29 389,76 192,11 872,3 676,1 062,50 282
11 320,1 135,1 994,5 081,29 841,148 971,129 425,113 146,39 800,3 589,6 158,30 651
6 233,287,759,3 685,75 302,71 922,48 050,67 052,15 356,847,2 134,23 364
79,75,11,303,388,4 055,7 651,8 126,265,345,32,2 092
29 060,3 333,3 870,21 788,324 471,376 418,270 614,456 784,73 273,12 869,10 324,143 720
,,Всех яровых,Картофеля,Озимой ржи и пшеницы,,,,,,Всех яровых,Картофеля
—,—,48 129,4 324,23 934,—,—,—,—,—,124 154,29 193
—,—,6 550,617,7 877,—,—
