Наименование фабрик и заводов,Город Красноярск - Число фабрик и заводов,Город Красноярск - Сумма производства,Город Красноярск - Число рабочих,Округ Красноярский - Число фабрик и заводов,Округ Красноярский - Сумма производства,Округ Красноярский - Число рабочих,Город Енисейск - Число фабрик и заводов,Город Енисейск - Сумма производства,Город Енисейск - Число рабочих,Округ Енисейский - Число фабрик и заводов,Округ Енисейский - Сумма производства,Округ Енисейский - Число рабочих
I. Обделывающие животные продукты:,,,,,,,,,,,,
Салотопенные,2,16 800,10,—,—,—,2,7 540,6,—,—,—
Мыловаренные,3,—,—,—,—,—,1,240,1,—,—,—
Кожевенные,6,6 850,11,1,90,1,4,4 730,10,—,—,—
Воскобелильные,1,14 400,2,—,—,—,1,9 760,3,—,—,—
II. Обделывающие растительные продукты:,,,,,,,,,,,,
Лесопильные,—,—,—,—,—,—,1,—,—,—,—,—
Крупчатные,—,—,—,—,—,—,—,—,—,—,—,—
Стеклоделательные,—,—,—,1,3 200,19,—,—,—,—,—,—
Маслобойные,1,100,1,2,470,4,—,—,—,—,—,—
Картофелепаточные,—,—,—,1,709,7,—,—,—,—,—,—
Канатные,1,1 000,3,—,—,—,4,670,6,—,—,—
Винокуренные,4,36 532,12,—,—,—,3,69 106,8,1,18 499 631,55
Пивоваренные,2,8 850,10,—,—,—,—,—,—,—,—,—
III. Обделывающие ископаемые продукты:,,,,,,,,,,,,
Железоделательные и чугунолитейные,—,—,—,—,—,—,—,—,—,—,—,—
Медноплавильные,—,—,—,—,—,—,—,—,—,—,—,—
Колокольные,1,500,2,—,—,—,—,—,—,—,—,—
Кирпичные,8,7 750,43,2,345,2,10,3 100,34,—,—,—
Гончарные,2,270,2,2,785,12,—,—,—,—,—,—
Солеваренные,—,—,—,—,—,—,—,—,—,—,—,—
IV. Смешанных продуктов:,,,,,,,,,,,,
Экипажные,—,—,—,—,—,—,1,2 300,9,—,—,—
Спичечные,1,5 000,21,—,—,—,—,—,—,—,—,—
Итого,32,98 052,117,9,5 590,45,27,97 446,77,1,18 499 631,55
