Наименование фабрик и заводов,Город Канск - Число фабрик и заводов,Город Канск - Сумма производства,Город Канск - Число рабочих,Округ Канский - Число фабрик и заводов,Округ Канский - Сумма производства,Округ Канский - Число рабочих,Город Ачинск - Число фабрик и заводов,Город Ачинск - Сумма производства,Город Ачинск - Число рабочих,Округ Ачинский - Число фабрик и заводов,Округ Ачинский - Сумма производства,Округ Ачинский - Число рабочих,Город Минусинск - Число фабрик и заводов,Город Минусинск - Сумма производства,Город Минусинск - Число рабочих,Округ Минусинский - Число фабрик и заводов,Округ Минусинский - Сумма производства,Округ Минусинский - Число рабочих,Всего в губернии - Число фабрик и заводов,Всего в губернии - Сумма производства,Всего в губернии - Число рабочих
I. Обделывающие животные продукты:,,,,,,,,,,,,,,,,,,,,,
Салотопенные,1,400,2,—,—,—,—,—,—,—,—,—,2,5 000,9,—,—,—,14,34 180,31
Мыловаренные,—,—,—,—,—,—,1,200,1,—,—,—,2,400,2,—,—,—,,,
Кожевенные,1,6 000,4,—,—,—,1,6 000,3,6,8 304,11,5,5 950,12,10,19 400,18,34,57 322,70
Воскобелильные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,24 160,5
II. Обделывающие растительные продукты:,,,,,,,,,,8 302,,,,,,,,,,,
Лесопильные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,—
Крупчатные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3,6 295 175,58,3,6 295 175,58
Стеклоделательные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,30 241,65,2,33 441,84
Маслобойные,—,—,—,—,—,—,1,300,1,3,420,3,4,2 400,6,—,—,—,11,3 690,15
Картофелепаточные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,700,7
Канатные,—,—,—,—,—,—,—,—,—,1,800,8,1,275,2,—,—,—,7,2 745,19
Винокуренные,3,—,—,4,37 290 037,112,3,4 500,6,6,132 116 815,357,2,—,—,4,53 927 031,130,30,252 847 314,680
Пивоваренные,—,—,—,—,—,—,1,100,1,—,—,—,—,—,—,—,—,—,3,8 950,11
III. Обделывающие ископаемые продукты:,,,,,,,,,,,,,,,,,,,,,
Железоделательные и чугунолитейные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,26 260 276,778,1,26 260 276,778
Медноплавильные,—,—,—,—,—,—,—,—,—,1,453 360,50,—,—,—,—,—,—,1,453 360,50
Колокольные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,2
Кирпичные,1,1 600,10,—,—,—,2,450,8,3,180,3,3,525,5,—,—,—,29,13 950,105
Гончарные,—,—,—,—,—,—,2,200,2,8,270,8,4,220,4,—,—,—,18,1 745,28
Солеваренные,—,—,—,1,7 556 935,130,—,—,—,—,—,—,—,—,—,1,10 400,32,2,8 596 935,162
IV. Смешанных продуктов:,,,,,,,,,,,,,,,,,,,,,
Экипажные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,2 300,9
Спичечные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,5 000,21
Итого,6,11 600,16,5,44 846 972,242,11,11 750,22,28,133 567 375,440,23,14 770,40,20,92 486 582,1 081,162,313 321 360,2 135
