ГОРОДА И ОКРУГА,Число браков,ЧИСЛО Законно муж.,ЧИСЛО Законно жен.,ЧИСЛО Законно обоего пола
В г. Красноярске,117,241,198,439
“ Енисейске,57,123,107,230
“ Канске,28,62,78,140
“ Ачинске,22,61,61,122
“ Минусинске,37,143,110,253
“ Туруханске,3,11,5,16
Итого в городах,264,641,559,1 200
В Красноярском округе,402,1 328,1 219,2 547
“ Енисейском,323,1 003,963,1 966
“ Канском,478,1 471,1 415,2 886
“ Ачинском,643,1 761,1 669,3 430
“ Минусинском,851,2 550,2 356,4 906
“ Туруханском,24,65,60,125
Итого в округах,2 721,8 178,7 682,15 860
Всего в губернии,2 985,8 819,8 241,17 060
