РОДИВШИХСЯ Незаконно муж.,РОДИВШИХСЯ Незаконно жен.,РОДИВШИХСЯ Незаконно обоего пола,РОДИВШИХСЯ ВСЕГО муж.,РОДИВШИХСЯ ВСЕГО жен.,РОДИВШИХСЯ ВСЕГО обоего пола,ЧИСЛО УМЕРШИХ муж.,ЧИСЛО УМЕРШИХ жен.,ЧИСЛО УМЕРШИХ обоего пола,Прибыль + или убыль —
57,67,124,298,265,563,525,257,782,-219
28,27,55,151,134,285,196,147,343,-58
19,6,25,81,84,165,142,62,204,-39
6,5,11,67,66,133,67,67,134,-1
12,16,28,155,126,281,227,162,389,-108
—,—,—,11,5,16,5,9,14,+2
122,121,243,763,680,1 443,1 162,704,1 866,-423
128,141,269,1 456,1 360,2 816,1 424,1 147,2 571,+245
124,139,263,1 127,1 102,2 229,1 016,887,1 903,+326
173,132,305,1 644,1 547,3 191,1 393,1 150,2 543,+648
130,129,259,1 891,1 798,3 689,1 730,1 490,3 220,+469
294,317,611,2 844,2 673,5 517,2 553,2 338,4 891,+626
34,31,65,99,91,190,200,143,343,-153
883,889,1 772,9 061,8 571,17 632,8 316,7 155,15 471,+2 161
1 005,1 010,2 015,9 824,9 251,19 075,9 478,7 859,17 337,+1 738
