На основании раскладки следовало собрать / Подлежало вынутию жребия,Было представлено в рекрутские присутствия / Зачислено в ратники ополчения,Принято натурою окончательно,Принято натурою на испытание,Зачтено по квитанциям,Всего собрано рекрут,Осталось в недоимке
35,60,30,—,5,35,—
408,615,321,—,87,408,—
—,1,1,—,—,1,—
—,1,1,—,—,1,—
—,1,1,—,—,1,—
443,678,354,—,92,446,—
,,,,,,
—,—,—,—,—,—,—
—,—,1,—,—,—,—
—,—,1,—,—,—,—
—,—,1,—,—,—,—
—,—,1,—,—,—,—
—,—,33,—,—,—,—
—,—,494,—,—,—,—
—,—,3,—,—,—,—
"2 293","1 506",534,—,7,541,—
—,—,888,—,99,9
