По сбору на продовольствие руб.,По сбору на продовольствие коп.,По земским сборам руб.,По земским сборам коп.,По выкупным платежам руб.,По выкупным платежам коп.,По налогу с недвижимых имуществ руб.,По налогу с недвижимых имуществ коп.,По рассрочке недоимок руб.,По рассрочке недоимок коп.,По разным взысканиям руб.,По разным взысканиям коп.,ВСЕГО руб.,ВСЕГО коп.
—,—,6 006,36,—,—,—,—,—,—,—,—,9 174,46 3/4
49,89 1/2,1 511,3 3/4,—,—,—,—,—,—,—,—,5 593,49 3/4
—,—,514,60,—,—,1 208,—,—,—,—,—,2 411,80
—,—,7 910,95 1/2,—,—,—,—,—,—,—,—,14 305,81 3/4
—,—,2 020,10 3/4,—,—,—,—,—,—,—,—,3 073,33 3/4
472,84 3/4,43 088,39,—,—,—,—,—,—,—,—,161 628,60 1/2
459,47 3/4,6 294,23 3/4,—,—,—,—,—,—,—,—,40 976,77
653,50,29 971,43,—,—,—,—,—,—,—,—,126 440,40
579,77 3/4,37 748,79 3/4,—,—,—,—,—,—,—,—,142 127,98 3/4
281,96 1/2,28 191,1 3/4,—,—,—,—,—,—,—,—,96 357,17 3/4
