РОДЫ ПОДАТЕЙ,Следовало поступить Недоимок руб.,Следовало поступить Недоимок коп.,Следовало поступить Оклада руб.,Следовало поступить Оклада коп.,Вновь причислено Недоимок руб.,Вновь причислено Недоимок коп.,Вновь причислено Оклада руб.,Вновь причислено Оклада коп.
ПОДАТИ И ОКЛАДНЫЕ ПЛАТЕЖИ,,,,,,,,
I. Оброчной подати и дополнительного к ней сбора,,,,,,,,
1. С государственных крестьян всех наименований,159 060,18 3/4,260 283,56,1 149,61 1/2,3 183,39 1/2
2. С поселенцев полного оклада,103 381,84,22 366,62,1 197,86 3/4,794,60 1/2
3. С поселенцев половинного оклада,56 537,19,16 920,75,3 177,48,2 889,67 1/2
"4. С купцов и мещан, живущих в селениях",137,25 3/4,63,2,—,—,—,—
5. С оседлых инородцев,1 836,53 1/2,4 416,88,—,—,—,45 1/2
6. С переселенцев,4 174,60 1/2,1 516,60,113,61 1/2,50,39 3/4
"II. Подушной подати с сословий, состоящих на общих окладах",,,,,,,,
1. С государственных крестьян всех наименований,53 775,83,85 494,60,378,31,1 022,38
2. С крестьян из казаков,60,24,163,80,14,17 1/2,28,57 1/2
3. С бывших помещичьих крестьян,79,81 1/2,—,—,—,—,—,—
4. С крестьян, вышедших из крепостной зависимости,—,—,9,—,—,—,—,—
5. С поселенцев полного оклада,30 971,52 1/2,7 346,70,374,—,259,—
6. С поселенцев половинного оклада,15 480,54 3/4,5 537,70,1 039,69 1/2,938,5 1/2
"7. С купцов и мещан, живущих в селениях",53,10,20,70,—,—,—,—
8. С мещан и цеховых,17 513,79 3/4,1 876,80,73,20,213,60
9. С оседлых инородцев,542,40 3/4,1 450,80,—,—,—,—
Итого,443 604,85 1/4,407 467,53,7 517,95 3/4,9 380,13 3/4
"III. Податей с сословий, состоящих на особых окладах",,,,,,,,
1. С кочевых и бродячих инородцев,164,12 1/2,1 415,54,—,—,164,12 1/2
Итого,164,12 1/2,1 415,54,—,—,164,12 1/2
IV. Общественного сбора,,,,,,,,
1. С государственных крестьян всех наименований,2 844,40 3/4,5 664,—,25,36,56,91
2. С прочих податных лиц,141,6,505,68,—,—,—,84
3. Штраф за прописку по ревизии душ,—,—,—,—,3,60,—,—
V. Сбора на обеспечение народного продовольствия,,,,,,,,
1. С государственных крестьян всех наименований,1 064,91 3/4,—,—,379,10,—,—
2. С прочих податных лиц,1 053,39,—,—,442,22 1/2,—,—
VI. Сбора на межевание земель,,,,,,,,
1. С государственных крестьян всех наименований,1 793,65 1/4,2 832,—,12,56,29,33 1/2
2. С прочих податных лиц,70,98,252,84,—,1,—,42
VII. Сбора на пожарные случаи,,,,,,,,
1. С государственных крестьян всех наименований,2 426,26,3 776,—,17,8,38,8
2. С прочих податных лиц,238,25,109,52,4,4,1,44
VIII. Сбора экономической суммы,,,,,,,,
1. С поселенцев полного и половинного оклада,15 276,21 3/4,3 070,35,365,90 1/2,327,14
