Исключено Недоимок руб.,Исключено Недоимок коп.,Исключено Оклада руб.,Исключено Оклада коп.,Взыскано Недоимок руб.,Взыскано Недоимок коп.,Взыскано Оклада руб.,Взыскано Оклада коп.,Осталось Недоимок руб.,Осталось Недоимок коп.,Осталось Оклада руб.,Осталось Оклада коп.,Осталось ВСЕГО руб.,Осталось ВСЕГО коп.
17 295,33 1/4,6 503,10 1/4,42 300,97 1/4,222 764,49 1/4,100 613,48 3/4,34 199,36,134 812,84 3/4
12 565,96 1/2,2 350,77 1/4,7 072,3 3/4,5 646,8 3/4,84 941,71,15 164,36 1/2,100 106,7 1/2
5 975,55 1/2,1 652,14,8 129,21,6 374,21 3/4,45 609,90 1/2,11 784,6 3/4,57 393,97 1/4
—,—,1,37,23,30,39,75,113,95 1/4,21,90,135,85 1/4
—,—,14,21 1/2,1 745,73 3/4,4 083,92,90,79 3/4,319,20,409,99 3/4
569,41 1/4,36,42 3/4,333,85 1/2,485,83 1/4,3 384,95 1/4,1 044,73 1/4,4 429,68 1/2
,,,,,,,,,,,,,,
5 125,21,1 997,65 1/4,11 966,15 3/4,76 467,23 1/2,37 062,77 1/4,8 052,9 3/4,45 114,86 1/2
12,98,27,45,52,88 1/2,151,97 1/2,8,55,12,95,21,50
—,—,—,—,—,—,—,—,79,81 1/2,—,—,79,81 1/2
—,—,—,—,—,—,4,50,—,—,4,50,4,50
4 135,50 3/4,818,4 1/4,1 978,1/4,1 817,33 1/2,25 232,1 1/2,4 970,32 1/4,30 202,33 3/4
1 732,7 1/2,614,58,2 454,56,2 011,33 1/2,12 333,60 1/4,3 849,84,16 183,44 3/4
—,—,—,45,7,65,13,5,45,45,7,20,52,65
585,60,142,80,3 087,70 1/2,523,60,13 913,68 3/4,1 424,—,15 337,68 3/4
—,—,211,95,483,45 3/4,1 134,—,58,95,104,85,163,80
47 997,64 3/4,14 370,95 1/4,79 635,52,321 517,33 1/2,323 489,64 3/4,80 959,38,404 449,2 3/4
,,,,,,,,,,,,,,
—,—,—,—,164,12 1/2,1 554,27 1/2,—,—,25,39,25,39
—,—,—,—,164,12 1/2,1 554,27 1/2,—,—,25,39,25,39
,,,,,,,,,,,,,,
419,53 3/4,268,49 1/2,497,80 1/4,4 743,13 3/4,1 952,42 1/4,709,27 3/4,2 661,70
8,49,—,33,124,63,490,29,7,94,15,90,23,84
—,90,—,—,—,90,—,—,1,80,—,—,1,80
,,,
