Исключено Недоимок руб.,Исключено Недоимок коп.,Исключено Оклада руб.,Исключено Оклада коп.,Взыскано Недоимок руб.,Взыскано Недоимок коп.,Взыскано Оклада руб.,Взыскано Оклада коп.,Осталось к 1 января 1875 г. Недоимок руб.,Осталось к 1 января 1875 г. Недоимок коп.,Осталось к 1 января 1875 г. Оклада руб.,Осталось к 1 января 1875 г. Оклада коп.,Осталось к 1 января 1875 г. ВСЕГО руб.,Осталось к 1 января 1875 г. ВСЕГО коп.
—,—,1 309,50,—,—,819,—,—,—,—,—,—,—
8 228,50 1/2,7 254,47,6 499,28 3/4,40 245,11,50 823,83 3/4,8 461,36,59 285,19 1/4
—,—,899,10,—,—,531,15,—,—,—,—,—,—
11 187,45 1/2,2 749,43 1/2,18 181,95 3/4,95 895,52 3/4,8 459,26 1/2,19 381,73 3/4,103 972,1/4
886,46 3/4,283,44 3/4,1 614,96 1/4,7 885,16 1/2,6 560,7 3/4,1 919,12 3/4,8 479,20
22 652,79 1/2,13 194,24 1/4,28 957,73 1/4,157 821,79 1/4,163 121,28 3/4,33 282,64 1/2,196 403,93 1/4
—,—,—,—,—,—,—,—,3,50,—,—,3,50
—,—,—,—,—,—,—,—,3,50,—,—,3,50
70 650,43 3/4,27 565,19 1/2,108 757,37 3/4,480 893,40 3/4,486 614,43 1/2,114 267,41 1/2,600 881,85
1 938,34 1/4,—,—,3 261,11 3/4,—,—,1 208,—,—,—,1 208,—
1 399,38 3/4,—,—,2 027,88,—,—,22 498,30 3/4,—,—,22 498,30 3/4
4 820,42 1/4,—,—,5 575,35,—,—,255 901,82 1/2,—,—,255 901,82 1/2
4 126,24 1/4,—,—,6 918,78 1/2,—,—,61 889,93 1/2,—,—,61 889,93 1/2
14 676,38 3/4,—,—,2 766,68,—,—,31 418,57 3/4,—,—,31 418,57 3/4
489,60,—,—,1 035,65,—,—,4 325,30,—,—,4 325,30
