В округах,ПОСЕЯНО озимого,ПОСЕЯНО ярового,ПОСЕЯНО картофеля,СНЯТО озимого,СНЯТО ярового,СНЯТО картофеля
Красноярском,5565,112077,2974,32745,284954,22594
Енисейском,11040,29597,2373,50502,104435,14737
Канском,21701,52368,7372,135693,153969,50282
Минусинском,7069,132543,5081,29841,441089,30651
Ачинском,18837,74318,3685,75302,205361,23364
На землях городских,97,7231,303,388,20474,2092
Всего по губернии,64309,408134,21788,324471,1200282,143720
,,472443,,,1524753,
В том числе:,,,,,,
"У поселенцев, купцов, мещан и др.",4356,48129,4324,23934,124154,29193
У оседлых инородцев,1620,6550,617,7877,20578,2731
У крестьян,58334,353455,16847,292660,1055550,114796
