Наименование преступлений,Число преступлений и дел,Число осужденных м.,Число осужденных ж.,Дворян потомственных м.,Дворян потомственных ж.,Дворян личных м.,Дворян личных ж.,Почетных граждан и купцов м.,Почетных граждан и купцов ж.,Мещан м.,Мещан ж.,Крестьян м.,Крестьян ж.
"О нападении с насилием (ст. 2109—2112)",24,14,—,—,—,—,—,—,—,—,—,2,—
"Об угрозах (ст. 2113—2117, улож. 1866 г., ст. 1545—1548)",12,9,—,—,—,—,—,—,—,—,—,6,—
Отделение X,,,,,,,,,,,,,
"О преступлениях против союза брачного (ст. 2118—2156)",10,15,3,—,—,—,—,—,—,—,—,7,2
"О преступлениях детей против родителей (ст. 2162—2165)",35,29,3,—,—,—,—,—,—,15,—,12,3
Отделение XI,,,,,,,,,,,,,
"О насильственном завладении чужим недвижимым имуществом и истреблении граничных меж и знаков (ст. 2173—2184)",1,1,—,—,—,—,—,—,—,—,—,1,—
"О зажигательстве (ст. 2185—2195)",4,9,—,—,—,—,—,—,—,—,—,3,—
"О разбое (ст. 2208—2217)",19,21,—,—,—,—,—,—,—,2,—,4,—
"О грабеже (ст. 2218—2224)",210,73,2,—,—,—,—,—,—,16,—,22,—
"О воровстве-краже (ст. 2225—2251)",260,169,22,1,—,—,—,—,—,37,6,47,8
"О воровстве-мошенничестве (ст. 2252—2267)",9,12,6,—,—,—,—,—,—,2,2,2,—
"О присвоении вверенного чужого движимого имущества (ст. 2272)",7,6,1,—,—,—,—,—,—,3,—,3,1
О происшествиях,—,8,1,—,—,—,—,—,—,2,—,3,—
Итого,1322,1246,108,2,—,38,—,5,—,215,16,392,42
