Военного сословия м.,Военного сословия ж.,Инородцев м.,Инородцев ж.,Поселенцев м.,Поселенцев ж.,Ссыльнокаторжных м.,Ссыльнокаторжных ж.,ниже 17 лет м.,ниже 17 лет ж.,17-20 м.,17-20 ж.,21-30 м.,21-30 ж.,31-40 м.,31-40 ж.,41-50 м.,41-50 ж.,51-60 м.,51-60 ж.,свыше 60 лет м.,свыше 60 лет ж.
—,—,—,—,8,—,4,—,—,—,—,—,—,—,9,—,3,—,2,—,—,—
—,—,—,—,3,—,—,—,—,—,—,—,5,—,4,—,—,—,—,—,—,—
—,—,—,—,8,1,—,—,—,—,—,2,—,1,10,—,5,—,—,—,—,—
—,—,—,—,2,—,—,—,—,—,16,3,13,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—
—,—,—,—,6,—,—,—,—,—,—,—,5,—,4,—,—,—,—,—,—,—
—,—,—,—,11,—,4,—,—,—,—,—,9,—,7,—,5,—,—,—,—,—
—,—,—,—,31,2,4,—,—,—,—,—,19,2,24,—,30,—,—,—,—,—
—,—,33,1,51,7,—,—,—,—,17,9,47,8,53,5,39,—,13,—,—,—
—,—,—,—,8,4,—,—,—,—,—,—,7,3,5,3,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,6,1,—,—,—,—,—,—,—,—
—,—,—,—,3,1,—,—,—,—,—,—,5,—,2,1,1,—,—,—,—,—
10,—,106,12,453,38,25,—,—,—,33,30,391,52,452,26,308,—,62,—,—,—
