ГОРОДА И ОКРУГА,В зимние месяцы Число пожаров,В зимние месяцы Число погоревших дворов,В зимние месяцы Сумма убытков,В весенние месяцы Число пожаров,В весенние месяцы Число погоревших дворов,В весенние месяцы Сумма убытков
В г. Красноярске,5,2,3 570,5,—,250
округе оного,—,—,—,10,—,9 848-70
г. Енисейске,—,—,—,1,—,50
округе оного,4,—,434,4,7,2 297-27
г. Канске,,,,,,
округе оного,3,3,7 762,8,8,1 320
г. Ачинске,1,—,75,,,
округе оного,4,2,1 630,2,2,638
г. Минусинске,—,—,—,2,45,106 000
округе оного,5,1,607,14,19,17 883-65
Всего по губернии,22,8,14 078,46,81,138 287-62 1/2
