В летние месяцы Число пожаров,В летние месяцы Число погоревших дворов,В летние месяцы Сумма убытков,В осенние месяцы Число пожаров,В осенние месяцы Число погоревших дворов,В осенние месяцы Сумма убытков,Всего в год Число пожаров,Всего в год Число погоревших дворов,Всего в год Сумма убытков,Причина пожаров От молний,Причина пожаров От дурного устройства печей и труб,Причина пожаров От неосторожности,Причина пожаров От поджога,Причина пожаров От других причин
2,—,—,2,—,400,14,2,4 220,—,7,3,—,4
7,15,12 849-98,15,7,4 325-60,32,22,27 024-28,—,1,8,2,21
—,—,—,—,—,—,1,—,50,—,—,—,—,1
4,2,390,—,—,—,12,9,3 121-27,—,—,8,—,4
1,1,1 000,2,2,185-40,3,3,1 185-40,—,—,3,—,—
2,2,3 150,2,2,549-20,15,15,12 781-20,—,1,13,1,—
1,1,200,1,—,25,3,1,300,—,—,2,—,1
5,13,4 017,5,3,4 523,16,20,10 808,—,—,12,—,4
—,—,—,—,—,—,2,45,106 000,—,—,—,—,2
8,2,2 203-50,9,—,1 638,36,22,22 332-15,—,—,7,12,17
30,36,23 810-48,36,14,11 646-20,134,139,187 822-30,—,9,56,15,54
