ГОРОДА И ОКРУГА,Число случаев Детоубийство новорожденных,Число случаев Смертоубийство,Число случаев ИТОГО,Жертвы Детоубийство м.,Жертвы Детоубийство ж.,Жертвы Смертоубийство м.,Жертвы Смертоубийство ж.,Жертвы ИТОГО м.,Жертвы ИТОГО ж.,Самоубийство м.,Самоубийство ж.,От болезни м.,От болезни ж.
В г. Красноярске,—,3,3,—,—,1,3,1,3,3,—,—,—
округе оного,—,6,6,—,—,3,3,3,3,1,—,1,—
г. Енисейске,—,2,2,—,—,1,1,1,1,1,—,1,—
округе оного,—,8,8,—,—,8,—,8,—,2,—,1,—
г. Канске,—,1,1,—,—,1,—,1,—,1,—,—,—
округе оного,—,13,13,—,—,9,4,9,4,2,—,1,1
г. Ачинске,—,—,—,—,—,—,—,—,—,—,—,1,—
округе оного,1,11,12,1,—,11,—,12,—,1,1,1,—
г. Минусинске,—,2,2,—,—,2,—,2,—,—,—,—,—
округе оного,—,7,7,—,—,5,3,5,3,3,2,5,—
Итого,1,53,54,1,—,41,14,42,14,14,3,11,1
