Название заводов по округам,"Перекурено в вино муки ржаной, пшеничной, овсяной и солоду",Получено % безводного спирта,Получено в полугаре ведер 40%,Среднее число пудов употреблено в суточный затор,Среднее число получения вина в полугаре из суточного затора,Сколько суток в периоде действовал завод
Ачинского округа:,,,,,,
Сидоровский,261 576,"11 101 243,58","277 531,09",692,"734,21",196
Мариинский,41 064,"1 596 491,93","39 912,30",348,"338,24",118
Александровский,28 755,"1 136 172,7","28 404,31",от 123 до 143,"138,00",205
Канского:,,,,,,
Ильинский,53 891,"2 324 078,80","58 101,95","256,20","224,78",214
Ривенский,5 740,"213 159,80","5 328,99",205,"190,32",28
Ивановский,36 806,"1 571 857,57","39 296,43 3/4",239,"255,16 3/4",154
Минусинского:,,,,,,
Спасский,не действовал,,,,,
Владимирский,не действовал,,,,,
Казанский,40 734,"1 755 727,04","43 893,17",438,"471,91 1/4",93
Александровский,99 180,"4 186 645,83","104 666,14 3/4",551,"581,47 1/4",180
Енисейского:,,,,,,
Каменский,51 788,"2 038 527,08","50 963,17",от 214 до 428,"381,39",131
Итого,619 534,"25 923 904,33","648 097,56",—,—,1319
