ГОРОДА И ОКРУГА,Скоропостижно умершие От пьянства м.,Скоропостижно умершие От пьянства ж.,Скоропостижно умершие От неизвестных причин м.,Скоропостижно умершие От неизвестных причин ж.,Скоропостижно умершие ИТОГО м.,Скоропостижно умершие ИТОГО ж.,Найденные мертвые тела м.,Найденные мертвые тела ж.,Жертвы случайной смерти Убито громом м.,Жертвы случайной смерти Убито громом ж.,Жертвы случайной смерти Задавлено и упало с высоты м.,Жертвы случайной смерти Задавлено и упало с высоты ж.,Жертвы случайной смерти Сгорело и убито на пожарах м.,Жертвы случайной смерти Сгорело и убито на пожарах ж.,Жертвы случайной смерти Умерло от угара м.,Жертвы случайной смерти Умерло от угара ж.,Жертвы случайной смерти Замерзло м.,Жертвы случайной смерти Замерзло ж.,Жертвы случайной смерти Утонуло м.,Жертвы случайной смерти Утонуло ж.,Жертвы случайной смерти Укушено до смерти зверями м.,Жертвы случайной смерти Укушено до смерти зверями ж.,Жертвы случайной смерти Умерло от других случайностей м.,Жертвы случайной смерти Умерло от других случайностей ж.,Жертвы случайной смерти Всего умерло м.,Жертвы случайной смерти Всего умерло ж.,Всего умерло от насильственной смерти и случайностей м.,Всего умерло от насильственной смерти и случайностей ж.
В г. Красноярске,—,—,4,—,4,—,—,—,—,—,—,—,2,1,1,—,—,—,1,—,—,—,1,—,5,1,13,4
округе оного,1,—,23,4,25,4,6,—,—,—,3,—,1,1,—,—,1,—,10,6,—,—,—,—,15,7,50,14
г. Енисейске,1,—,3,2,5,2,1,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,9,3
округе оного,5,—,8,1,14,1,3,—,—,—,5,—,—,—,1,—,3,—,18,2,—,—,1,—,28,2,55,3
г. Канске,—,—,2,—,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,—
округе оного,8,1,9,5,18,7,3,—,—,—,3,1,—,—,—,—,5,1,7,—,1,—,1,—,17,2,49,13
г. Ачинске,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—,1,—,2,—
округе оного,2,—,5,1,8,1,1,—,—,—,3,—,—,—,2,1,4,—,13,1,—,—,11,5,33,7,55,9
г. Минусинске,—,—,3,2,3,2,—,—,—,1,—,—,—,—,—,—,—,—,1,—,—,—,—,—,1,1,6,3
округе оного,4,1,17,—,26,1,3,2,—,—,6,—,5,1,2,—,—,—,15,3,—,—,2,—,30,4,67,12
Итого,21,2,74,15,106,18,17,2,—,1,21,1,8,3,6,1,13,1,66,12,1,—,16,5,131,24,310,61
