"<Повинность>","Число людей, занятых повинностью","Число подвод","Время занятий"
"1. Исправление дорог, мостов, гатей, бичевников, перил, столбов и приготовление для них леса","15 858","7 123","2 месяца 22 дня"
"2. Отправление междудворной обывательской гоньбы","26 974","67 683","1 год"
"3. Содержание перевозов через реки","54","—","7 месяцев"
"4. Караул при церквях и сельских экономических магазинах; употребление людей при волостных правлениях и прочих местах в десятники и рассыльные","2 597","228","1 год"
"5. Приготовление леса и дров для общественных зданий","1 901","1 858","1 год"
"6. Поправка общественных зданий, магазинов, ледников, кордонов и пр.","502","220","1 год"
"7. Содержание кордонов, поимка беглых, препровождение и пересылка партий","2 436","2 302","1 год"
"8. Прекращение лесных пожаров","356","71","1 месяц"
"9. Работы при межевании земель","795","114","2 месяца"
"10. Препровождение воинских партий и политических преступников","2 670","2 014","1 год"
