Наименование фабрик и заводов,Число фабрик и заводов (г. Красноярск),Сумма производства (г. Красноярск),Число рабочих (г. Красноярск),Число фабрик и заводов (о. Красноярский),Сумма производства (о. Красноярский),Число рабочих (о. Красноярский),Число фабрик и заводов (г. Енисейск),Сумма производства (г. Енисейск),Число рабочих (г. Енисейск),Число фабрик и заводов (о. Енисейский),Сумма производства (о. Енисейский),Число рабочих (о. Енисейский)
I. Обделывающие животные продукты:,,,,,,,,,,,,
Салотопенные,2,10 000,9,—,—,—,1,800,3,—,—,—
Мыловаренные,2,—,—,—,—,—,—,—,—,—,—,—
Кожевенные,10,17 650,28,2,194,4,5,3 300,12,—,—,—
Воскобелильные,1,14 600,2,—,—,—,1,10 000,1,—,—,—
II. Обделывающие растительные продукты:,,,,,,,,,,,,
Лесопильные,—,—,—,—,—,—,—,—,—,—,—,—
Крупчатные,—,—,—,—,—,—,—,—,—,—,—,—
Маслобойные,—,—,—,—,—,—,—,—,—,—,—,—
Картофеле-паточные,—,—,—,—,—,—,—,—,—,—,—,—
Канатные,—,—,—,—,—,—,3,850,6,—,—,—
Винокуренные,—,—,—,—,—,—,—,—,—,1,215 851,42
Водочные,3,68 000,9,—,—,—,3,61 000,3,—,—,—
Пивоваренные,2,10 000,12,—,—,—,—,—,—,—,—,—
III. Обделывающие ископаемые продукты,,,,,,,,,,,,
Железоделательные и чугунолитейные,—,—,—,—,—,—,—,—,—,—,—,—
Медноплавильные,—,—,—,—,—,—,—,—,—,—,—,—
Стеклоделательные,—,—,—,1,—,—,—,—,—,—,—,—
Колокольные,1,700,1,—,—,—,1,3 000,2,—,—,—
Кирпичные,12,9 000,101,—,—,—,13,3 085,39,—,—,—
Гончарные,3,450,4,1,1 000,7,—,—,—,—,—,—
Солеваренные,—,—,—,—,—,—,—,—,—,—,—,—
IV. Смешанных продуктов:,,,,,,,,,,,,
Экипажные,2,7 800,20,—,—,—,1,300,1,—,—,—
Спичечные,1,10 000,25,—,—,—,—,—,—,—,—,—
Итого,39,148 200,211,4,1 194,11,28,82 335,67,1,215 851,42
