Город Канск (Число фабрик и заводов),Город Канск (Сумма производства),Город Канск (Число рабочих),Округ Канский (Число фабрик и заводов),Округ Канский (Сумма производства),Округ Канский (Число рабочих),Город Ачинск (Число фабрик и заводов),Город Ачинск (Сумма производства),Город Ачинск (Число рабочих),Округ Ачинский (Число фабрик и заводов),Округ Ачинский (Сумма производства),Округ Ачинский (Число рабочих),Город Минусинск (Число фабрик и заводов),Город Минусинск (Сумма производства),Город Минусинск (Число рабочих),Округ Минусинский (Число фабрик и заводов),Округ Минусинский (Сумма производства),Округ Минусинский (Число рабочих),Всего в губернии (Число фабрик и заводов),Всего в губернии (Сумма производства),Всего в губернии (Число рабочих)
1,1000,3,—,—,—,1,500,2,—,—,—,4,3500,6,—,—,—,16,18300,31
1,2000,2,—,—,—,—,—,—,—,—,—,4,500,6,—,—,—,11,15300,12
1,6000,6,1,800,2,2,2100,3,15,4581,30,—,—,—,9,1800,14,45,36425,99
—,—,—,—,—,—,—,—,—,—,—,—,7,8000,16,—,—,—,9,32600,19
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3,86460,49,3,86460,49
—,—,—,—,—,—,1,250,1,—,—,—,5,1800,9,3,180,6,9,2230,16
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,2,250,4,1,800,2,6,1900,12
—,—,—,3,442912,115,—,—,—,3,494901,125,—,—,—,4,545056,232,11,1698720,514
1,—,—,—,—,—,3,6950,3,3,69143,9,3,—,—,1,—,—,17,205093,24
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,10000,12
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,265358,800,1,265358,800
—,—,—,—,—,—,—,—,—,1,30738,97,—,—,—,
