ГОРОДА И ОКРУГА,Законно муж.,Законно жен.,Законно обоего пола
В г. Красноярске,253,243,496
В г. Енисейске,126,128,254
В г. Канске,87,64,151
В г. Ачинске,54,64,118
В г. Минусинске,139,118,257
В г. Туруханске,12,13,25
Итого в городах,671,630,1301
В Красноярском округе,1323,1253,2576
В Енисейском округе,912,901,1813
В Канском округе,1354,1247,2601
В Ачинском округе,1817,1765,3582
В Минусинском округе,2440,2199,4639
В Туруханском крае,78,73,151
Итого в округах,7924,7438,15362
Всего в губернии,8595,8068,16663
