Незаконно муж.,Незаконно жен.,Незаконно обоего пола,Всего муж.,Всего жен.,Всего обоего пола,Умерших муж.,Умерших жен.,Умерших обоего пола,Прибыль + или убыль -,Число браков
44,63,107,297,306,603,453,291,744,-141,123
40,37,77,166,165,331,270,184,454,-123,73
14,13,27,101,77,178,183,97,280,-102,33
5,9,14,59,73,132,102,67,169,-37,29
19,14,33,158,132,290,216,138,354,-64,43
10,8,18,22,21,43,17,8,25,+18,8
132,144,276,803,774,1577,1211,785,2026,-449,309
156,128,284,1479,1381,2860,1565,1386,2951,-91,537
132,141,273,1044,1042,2086,1294,1105,2399,-313,422
152,143,295,1506,1390,2896,1808,1579,3387,-491,457
146,147,293,1963,1912,3875,1724,1562,3286,+589,632
376,329,705,
