РОДЫ ПОДАТЕЙ,Следовало поступить: Недоимок руб.,Следовало поступить: Недоимок коп.,Следовало поступить: Оклада руб.,Следовало поступить: Оклада коп.,Причислено: Недоимок руб.,Причислено: Недоимок коп.,Причислено: Оклада руб.,Причислено: Оклада коп.
ПОДАТИ И ОКЛАДНЫЕ ПЛАТЕЖИ,,,,,,,,
I. Оброчной подати и дополнительного к ней сбора,,,,,,,,
1. С государственных крестьян всех наименований,115758,89,261585,8,2374,41,2056,31
2. С ссыльнопоселенцев полного оклада,81865,35,20061,62,3767,79,3052,6
3. С ссыльнопоселенцев половинного оклада,59240,31½,19095,96,2278,56½,1919,56
4. С купцов и мещан, живущих в селениях,165,65½,65,76,-,-,-,1
5. С оседлых инородцев,88,56,4419,62,-,-,4,13
6. С кочевых инородцев,4726,20½,34,36,74,97,11,2
Итого,261844,97½,305262,40,8495,73½,7043,9
II. Окладный сбор,,,,,,,,
1. С кочевых инородцев,228,45,2931,21,-,-,-,-
2. С мещан,6457,56,4461,50,57,57,150,93
Итого,6686,1,7392,71,57,57,150,93
III. Подушной подати совокупно с подушным сбором,,,,,,,,
1. С государственных крестьян,51926,57¾,124953,70,1129,25,1004,49
2. С бывших помещичьих крестьян,182,37,-,-,-,-,-,-
3. С крестьян из казаков,19,26,-,-,4,82,-,-
4
