Исключено Недоимок руб.,Исключено Недоимок коп.,Исключено Оклада руб.,Исключено Оклада коп.,Вступило Недоимок руб.,Вступило Недоимок коп.,Вступило Оклада руб.,Вступило Оклада коп.,Осталось Недоимок руб.,Осталось Недоимок коп.,Осталось Оклада руб.,Осталось Оклада коп.,ВСЕГО руб.,ВСЕГО коп.
12591,67¾,3049,85,20173,88¾,236413,78,85367,74¾,24177,76,109545,50¾
16635,78,3551,11,2854,66¾,5470,35¼,66142,69¼,14092,21¼,80234,91
13037,35½,3465,30,3373,35,6435,81,45108,17½,11114,41,56222,58¾
2,4,2,80½,9,60,39,67½,153,31½,23,29,176,60¾
–,–,17,1,77,65,4180,95,10,91,225,79,236,70
85,25,–,–,540,12,43,31,4175,80½,2,7,4177,87½
42352,79¾,10086,7¾,27029,27,252583,87¾,200958,64¾,49635,53¾,250594,18½
–,–,–,–,–,–,2931,8,228,45,–,13,228,58
1127,24¾,163,27,1056,70,3596,24,4331,18¾,852,92,5184,10¾
1127,24¾,163,27,1056,70,6527,32,4559,63¾,853,5,5412,68¾
5159,73½,1984,74½,10939,79,112795,25¾,36956,30¾,11178,18¾,48134,49
–,–,–,–,–,–,–,–,182,37,–,–,182,37
15,98,–
