РОДЫ ПОДАТЕЙ,Следовало поступить Недоимок руб.,Следовало поступить Недоимок коп.,Следовало поступить Оклада руб.,Следовало поступить Оклада коп.,Причислено Недоимок руб.,Причислено Недоимок коп.,Причислено Оклада руб.,Причислено Оклада коп.
VI. Межевого сбора,,,,,,,,
1. С государственных крестьян,2266,86½,2846,97,22,34,27,24
"2. С купцов и мещан, живущих в селениях",2,66,—,72,—,—,—,2
3. С оседлых инородцев,2,52,48,96,—,—,—,10
4. С кочевых инородцев,1,5,234,41,—,—,—,2
Итого,2273,9¾,3131,6,22,34,27,38
VII. Пожарного сбора,,,,,,,,
1. С государственных крестьян,2878,6¾,3795,96,30,34,33,37
"2. С крестьян, состоящих на льготе",6,36,—,—,—,—,—,—
"3. С купцов и мещан, живущих в селениях",3,46,—,96,—,—,—,—
4. С оседлых инородцев,—,92,64,52,—,—,—,10
5. С переселенцев,202,45,1,20,6,6,—,12
Итого,3091,25½,3862,64,36,40,33,59
VIII. В капитал народного продовольствия,,,,,,,,
1. С государственных крестьян,740,38,—,—,8,5,—,—
2. С мещан,49,89½,—,—,—,—,—,—
3. С поселенцев полного оклада,461,86,—,—,—,45,—,—
4. С поселенцев половинного оклада,301,39,—,—,—,40,—,—
5. С кочевых инородцев,—,55,—,—,—,—,—,—
Итого,1554,7½,—,—,8,90,—,—
XIX. Экономической суммы,,,,,,,,
1. С поселенцев Енисейской губернии,14258,67¾,3195,31,447,75½,402,5
X. Земских губернских сборов,,,,,,,,
1. С мещан,15041,3¾,10664,—,93,6,359,93
2. С государственных крестьян,45662,38½,98152,41,752,3,784,64
3. С помещи
