Город/Уезд,По оброчным податям руб.,По оброчным податям коп.,По подушной подати руб.,По подушной подати коп.,По податям других наименований руб.,По податям других наименований коп.,По общественным сборам руб.,По общественным сборам коп.
Г. Красноярск,—,—,367,18,—,—,—,—
Енисейск,—,—,5373,21,—,—,—,—
Канск,—,—,290,65,—,—,—,—
Ачинск,—,—,8385,39,—,—,—,—
Минусинск,—,—,1073,25,—,—,—,—
Красноярский уезд,66681,43¾,24547,12,12860,95¾,1056,67
Енисейский,19852,96¾,6399,45¼,4953,68¾,156,88¼
Канский,47069,49,15079,93,3160,33,336,61
Ачинский,79635,53,34246,12,5831,39,1006,75
Минусинский,37354,76,22641,79,2085,23,281,29
Итого,250594,
