По сборам народного продовольствия руб.,По сборам народного продовольствия коп.,По земским сборам руб.,По земским сборам коп.,По налогу с недвижимых имуществ руб.,По налогу с недвижимых имуществ коп.,По выкупным платежам руб.,По выкупным платежам коп.,По рассрочке недоимок руб.,По рассрочке недоимок коп.,По разным взысканиям руб.,По разным взысканиям коп.,ВСЕГО руб.,ВСЕГО коп.
—,—,4632,86¾,7669,77¾,—,—,—,—,—,—,12669,81¾
49,89½,21,57¾,—,—,—,—,—,—,—,—,5444,68
—,—,283,16,2768,64,—,—,—,—,—,—,3342,45
—,—,5328,48,2854,39,—,—,—,—,—,—,16568,26
—,—,2698,54,768,89,—,—,—,—,—,—,4540,68
207,59¾,31776,43,—,—,—,—,—,—,—,—,137130,20¾
201,88¾,5815,48,—,—,—,—,—,—,—,—,37380,35
249,19,18607,82,—,—,—,—,—,—,—,—,84503,37
475,10,44019,14¾,—,—,—,—,—,—,—,—,165214,3¾
237,8,15704,16,—,—,—,—,—,—,—,—,78304,31
1420,74¾,128887,65,14061,69¾,—,—,—,—,—,—,545098,15¾
