Военного м.,Военного ж.,Инородцев м.,Инородцев ж.,Поселенцев м.,Поселенцев ж.,Ссыльнокаторжных м.,Ссыльнокаторжных ж.,Ниже 17 лет м.,Ниже 17 лет ж.,17-20 м.,17-20 ж.,21-30 м.,21-30 ж.,31-40 м.,31-40 ж.,41-50 м.,41-50 ж.,51-60 м.,51-60 ж.,Свыше 60 лет м.,Свыше 60 лет ж.
—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,2,2,—,—,—,—,—
—,1,—,—,3,—,—,—,—,—,—,—,5,—,11,2,—,1,—,—,—,—
—,1,13,—,110,5,2,—,—,—,3,6,24,8,32,14,64,—,46,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
—,1,3,—,56,1,—,—,—,—,4,—,12,1,22,3,37,—,31,—,—,—
2,—,—,—,3,—,—,—,2,—,3,—,9,—,6,—,1,—,—,—,—,—
—,—,—,—,12,2,—,—,—,—,4,—,22,2,11,—,5,2,3,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
1,—,—,—,1,—,—,—,—,—,—,—,1,—,2,—,2,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
—,—,2,—,—,—,—,—,—,—,8,5,29,—,6,—,—,—,—,—,—,—
—,—,—,—,21,1,—,—,1,—,3,—,6,—,12,3,3,—,8,—,—,—
