ГОРОДА И ОКРУГА,В зимние месяцы: Число пожаров,В зимние месяцы: Число погоревших дворов,В зимние месяцы: Сумма убытков,В весенние месяцы: Число пожаров,В весенние месяцы: Число погоревших дворов,В весенние месяцы: Сумма убытков
В г. Красноярске,—,—,—,2,1,—
округе оного,9,7,2215,10,64,18587
г. Енисейске,1,—,—,—,—,—
округе оного,3,3,1710,3,54,16790
г. Канске,—,—,—,—,—,—
округе оного,7,4,735,2,8,13385
г. Ачинске,2,2,1650,1,1,350
округе оного,4,4,1051,5,23,5148
г. Минусинске,—,—,—,—,—,—
округе оного,2,1,234,3,1,182
Итого,28,21,7595,26,152,54442
