ГОРОДА И ОКРУГА,Случаи: Детоубийство новорожденных,Случаи: Смертоубийство,Случаи: ИТОГО,Жертвы: Детоубийство м.,Жертвы: Детоубийство ж.,Жертвы: Смертоубийство м.,Жертвы: Смертоубийство ж.,Жертвы: ИТОГО м.,Жертвы: ИТОГО ж.,Самоубийство м.,Самоубийство ж.,От болезни м.,От болезни ж.
В г. Красноярске,1,2,3,—,1,2,—,2,1,1,—,6,—
округе оного,—,22,22,—,—,11,11,11,11,4,—,7,3
г. Енисейске,—,4,4,—,—,4,—,4,—,3,—,3,1
округе оного,—,11,11,—,—,7,4,7,4,2,1,5,1
г. Канске,—,2,2,—,—,2,—,2,—,—,—,—,—
округе оного,—,16,16,—,—,12,4,12,4,1,—,6,1
г. Минусинске,—,4,4,—,—,3,1,3,1,—,—,4,—
округе оного,—,16,16,—,—,8,8,8,8,1,—,6,1
г. Ачинске,—,8,8,—,—,5,3,5,3,—,—,3,—
округе оного,—
