Название заводов,Перекурено в вино муки,% безводного спирта,в полугаре ведер 40 %,пудов в суточный затор,получения вина из затора,суток действовал завод
Ачинского округа:,,,,,,
Сидоровский,73424,"3109772,18","77744,30",706,"747,54",104
Мариинский,44634,"1735977,66","43399,44",346,"336,43",129
Александровский,20449,"810290,95","20257,27",143,"141,66",143
Канского округа:,,,,,,
Ильинский,88677,"3776973,68","94424,34",от 265½ до 531 п.,"451,81",209
Ривенский,не действовал,,,,,,
Ивановский,30178,"1284882,04","32122,05",236,"250,95",128
Минусинского округа:,,,,,,
Спасский,не действовал,,,,,,
Владимирский,24080,"996945,23","24923,63",86,"178,02¾",140
Казанский,53473,"2254123,87","56353,09½",443½,"465,72¾",121
Александровский,70528,"2978143,54","74453,58¾",551,"581,66¾",128
