Сословие,В городах: муж.,В городах: жен.,В округах: муж.,В округах: жен.
I. Дворян: Потомственных,197,180,176,123
I. Дворян: Личных,737,604,124,101
II. Духовенства православного: Монашествующего,39,53,3,0
II. Духовенства православного: Белого,97,87,302,300
Других исповеданий,2,0,3,4
Церковнослужителей и семейств духовенства,69,67,379,413
Воспитанников духовного училища,124,101,1,0
III. Городских сословий: почетных граждан: Потомственных,71,45,42,27
III. Городских сословий: почетных граждан: Личных,92,87,41,31
III. Городских сословий: Купцов,461,412,160,152
III. Городских сословий: Мещан,15017,13739,4225,2626
IV. Сельских сословий: Крестьян,4609,3782,160584,151214
V. Военных: Регулярных войск,1373,0,350,0
V. Военных: Иррегулярных,264,0,2899,0
V. Военных: Находящихся в продолжительном отпуску,0,0,31,0
V. Военных: Состоящих в запасе армии,0,0,593,0
V. Военных: Отставных нижних чинов,0,0,5994,0
V. Военных: солдатских жен сыновей и дочерей,356,910,4433,9168
V. Военных: Нижних чинов на казенном содержании,0,0,59,0
VI. Разночинцев,1138,628,1160,955
