Наименование фабрик и заводов,Округ Канский: Число,Округ Канский: Сумма,Округ Канский: Рабочих,Город Ачинск: Число,Город Ачинск: Сумма,Город Ачинск: Рабочих,Округ Ачинский: Число,Округ Ачинский: Сумма,Округ Ачинский: Рабочих,Город Минусинск: Число,Город Минусинск: Сумма,Город Минусинск: Рабочих,Округ Минусинский: Число,Округ Минусинский: Сумма,Округ Минусинский: Рабочих,Всего в губернии: Число,Всего в губернии: Сумма,Всего в губернии: Рабочих
Салотопенные свечные и мыловаренные,0,0,0,0,0,0,4,800,4,13,11500,0,6,2270,11,35,30224,154
Кожевенные,11,6450,23,5,6000,13,27,11040,49,10,25000,9,64,14664,100,143,115039,265
Воскобойные,0,0,0,0,0,0,0,0,0,2,5000,0,0,0,0,3,25000,6
Крупчатные,0,0,0,0,0,0,0,0,0,0,0,0,3,123722-74,43,3,123722-74,43
Маслобойные,1,600,2,0,0,0,11,1540,18,5,2000,10,0,0,0,17,4140,38
Канатные и веревочные,0,0,0,0,0,0,3,300,11,0,0,0,13,1570-80,26,18,1085-80,48
Винокуренные,1,40000,30,0,0,0,1 (4 недейств.),294130,60,0,0,0,3,593753-22,84,8 (4 недействовав.),1374863 р. 19 к.,256
Водочные заводы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,85500,57
Пиво-медоваренные,0,0,0,1,5000,4,0,0,0,1,6000,9,0,0,0,5,36043,37
Паточные,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,4,1,1000,4
Свеклосахарный,0,0,0,0,0,0,0,0,0,0,0,0,1,150000,200,1,150000,200
Чугунолитейные железоделательные слесарные и лесопильные,0,0,0,0,0,0,0,0,0,0,0,0,1,209875,356,3,269535,454
Стеклоделательные,0,0,0,0,0,0,0,0,0,0,0,0,1,3550,44,2,9550,56
Фаянсовые,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,3
Колокольные,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1450,3
Кирпичные,0,0,0,15,7500,30,14,9618,26,12,13000,42,7,882,5,74,55367,211
Гончарные,0,0,0,0,0,0,6,700,6,6,700,10,18,311,19,31,2511,40
Солеваренные,2,48900,37,0,0,0,0,0,0,0,0,0,3,53083-40,77,5,101983-40,114
Смольные и скипидарные,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,2
Экипажные и кузнечные,0,0,0,0,0,0,0,0,0,18,5000,20,0,0,0,23,8350,36
Итого,15,95950,92,21,18500,47,66 (4 недействующ.),318128,174,67,68200,100,121,1154682-16,969,377 (4 недействующ.),2406064-13,2019
