ГОРОДА И УЕЗДЫ,Законнорожденных муж.,Законнорожденных жен.,Законнорожденных обоего пола
В г. Красноярске,412,358,770
В г. Енисейске,152,160,312
В г. Канске,87,66,153
В г. Ачинске,100,109,209
В г. Минусинске,238,234,472
В г. Туруханске,17,20,37
Итого в городах,1006,947,1953
В Красноярском округе,1581,1616,3197
В Енисейском округе,1241,1243,2484
В Канском округе,1866,1691,3557
В Ачинском округе,2378,2302,4680
В Минусинском округе,3997,3895,7892
В Туруханском крае,80,93,173
В Усинском пограничном округе,37,32,69
Итого в округах,11180,10872,22052
Всего в губернии,12186,11819,24005
