Незаконнорожденных муж.,Незаконнорожденных жен.,Незаконнорожденных обоего пола,Всего родившихся муж.,Всего родившихся жен.,Всего родившихся обоего пола,Умерших муж.,Умерших жен.,Умерших обоего пола,Прибыль или убыль,Число браков
82,93,175,494,451,945,514,400,914,+31,120
35,40,75,187,200,387,285,216,501,-114,60
5,6,11,92,72,164,170,72,242,-78,30
5,7,12,105,116,221,177,124,301,-80,27
17,20,37,255,254,509,194,152,346,+163,63
4,3,7,21,23,44,7,2,9,+35,6
148,169,317,1154,1116,2270,1347,966,2313,-43,306
108,111,219,1689,1727,3416,1448,1306,2754,+662,388
111,141,252,1352,1384,2736,1170,1053,2223,+513,467
155,187,342,2021,1878,3899,1880,1620,3500,+399,705
174,169,343,2552,2471,5023,1860,1639,3499,+1524,843
789,773,1562,4786,4668,9454,2495,2310,4805,+4649,1279
6,7,13,86,100,186,49,55,104,+82,32
2,5,7,39,37,76,8,7,15,+61,10
1345,1393,2738,12525,12265,24790,8910,7990,16900,+7890,3724
1493,1562,3055,13679,13381,27060,10257,8956,19213,+7847,4030
