Окладных сборов,Разрядов плательщиков,Недоимок Всего руб.,Недоимок Всего коп.,Недоимок В отчетном году руб.,Недоимок В отчетном году коп.,Недоимок В след. годы руб.,Недоимок В след. годы коп.,Оклада руб.,Оклада коп.,Подлежало в отчетном году Недоимок руб.,Подлежало в отчетном году Недоимок коп.,Подлежало в отчетном году Оклада руб.,Подлежало в отчетном году Оклада коп.,Подлежит в след. годы руб.,Подлежит в след. годы коп.
"§ 1 ст. 7 Подушная подать","С крестьян старожилов с Туруханским краем",16958,6 3/4,16958,6 3/4,,,101881,79,14564,7 3/4,101909,77 1/2,2241,4
,"С крестьян из ссыльных",54235,81 1/2,54235,81 1/2,,,13079,25,52179,76,12905,19,,
,"С крестьян из казаков",580,13 1/2,580,13 1/2,,,769,72,578,98,805,43 1/2,,
,"С крестьян административно-сосланных",1954,97 1/2,1954,97 1/2,,,690,43,1775,61 1/4,655,91,,
,"С оседлых инородцев",176,99 1/4,176,99 1/4,,,1971,50,176,99 1/4,2001,20,,
,"С купцов и мещан, проживающих в селениях",247,77,247,77,,,78,74,247,77,78,74,,
,"С кочевых инородцев",41,39,41,39,,,2172,94,41,39,2166,56 1/2,,
,"С поселенцев: Полного оклада",45369,99 1/4,45369,99 1/4,,,11060,27,38127,77 1/4,10205,82 1/2,,
,"С поселенцев: Половинного",17041,67 1/4,17041,67 1/4,,,4465,31,14512,26 1/4,4286,29 1/2,,
,Итого,136606,81,136606,81,,,136169,95,122204,61 1/4,134994,93 1/2,2241,4
"44 коп. подати, следующ. к поступлению в 1894 г.","С кочевых и бродячих инородцев",3900,17,3900,17,,,1950,8 1/2,3900,17,1950,8 1/2,,
