Поступило_р,Поступило_к,Зачтено_р,Зачтено_к,Исключено_р,Исключено_к,ИТОГО_р,ИТОГО_к,БудЛет_р,БудЛет_к,НедоимкаОтчет_р,НедоимкаОтчет_к,НедоимкаСлед_р,НедоимкаСлед_к,НедоимкаВсего_р,НедоимкаВсего_к,ЗаДругиеГуб_р,ЗаДругиеГуб_к,Примечание
102972,11 3/4,250,53 3/4,,,103222,65,310,29 1/4,13251,20 1/4,2241,4,15492,24 1/4,,,
13560,5,29,62,,,13589,67,35,53 1/2,51495,28,,,51495,28,,,
1027,45 1/2,14,65 1/2,,,1042,11,,10 1/2,342,30 1/2,,,342,30 1/2,,,
432,92 1/2,,71 1/2,,,433,64,4,9,1997,88 1/4,,,1997,88 1/4,,,
2022,64,1,15,,,2023,79,,62 1/2,154,40 1/4,,,154,40 1/4,,,
60,26,,,,,,60,26,,1/2,266,25,,,266,25,,,
2167,37,,,,,,2167,37,1,14,40,58 1/2,,,40,58 1/2,,,
7588,25 1/2,79,93 3/4,,,7668,19 1/4,97,15,40665,40 1/2,,,40665,40 1/2,,,
3525,60 3/4,87,29 1/2,,,3612,90 1/4,141,85 1/4,15165,65 1/2,,,15165,65 1/2,,,
*33356,68,463,90 1/2,,,133820,58 1/2,590,79 1/2,123378,96 1/4,2241,4,125620,3/4,,,
,,,,,,,,,,5850,25 1/2,,,5850,25 1/2,,,
