Окладных сборов,Разрядов плательщиков,Недоимок Всего р.,Недоимок Всего к.,В отчетном году р.,В отчетном году к.,В след. годы р.,В след. годы к.,Оклада р.,Оклада к.,Подлежало Недоимок р.,Подлежало Недоимок к.,Подлежало Оклада р.,Подлежало Оклада к.,Подлежит в след. годы р.,Подлежит в след. годы к.
§ 1 ст. 8 Оброчная подать,С крестьян старожилов с Туруханским краем,47035,93 3/4,47035,93 3/4,,,224449,84,40567,41 3/4,224604,84,4667,91
§ 1 ст. 8 Оброчная подать,С крестьян из ссыльных,128940,94 3/4,128940,94 3/4,,,28487,78,122801,16,28083,54 3/4,,
§ 1 ст. 8 Оброчная подать,С крестьян административно-сосланных,4398,7,4398,7,,,1527,55,3995,50 1/4,1451,49 1/2,,
§ 1 ст. 8 Оброчная подать,"С купцов и мещан, проживающих в селениях",460,62 1/2,460,62 1/2,,,161,66,460,62 1/2,161,66,,
§ 1 ст. 8 Оброчная подать,С поселенцев: Полного оклада,110281,29 1/4,110281,29 1/4,,,25101,14,91639,61 1/2,23150,63,,
§ 1 ст. 8 Оброчная подать,С поселенцев: Половинного,81453,98 1/2,81453,98 1/2,,,14975,18,70900,56 1/4,14306,92 1/4,,
§ 1 ст. 8 Оброчная подать,Итого,372571,50 1/2,372571,50 1/2,,,294703,15,330364,88 1/4,291759,9 1/2,4667,91
"§ 1 ст. 3-я Налога с недвиж. имущ. по гор., а также пени",,4832,89 1/4,1603,65 1/4,3229,24,16000,,2031,46 1/4,16000,,3229,24
§ 1 ст. 7 Межевой сбор,С крестьян старожилов,636,93,636,93,,,2444,40,564,11,2450,72 1/2,76,38 1/2
§ 1 ст. 7 Межевой сбор,С крестьян из ссыльных,1592,56 3/4,1592,56 3/4,,,311,88,1527,59 3/4,307,95,,
§ 1 ст. 7 Межевой сбор,С крестьян из казаков,37,20 1/2,37,20 1/2,,,19,2,37,17 1/2,19,1/2,,
§ 1 ст. 7 Межевой сбор,С крестьян административно-сосланных,95,75 1/4,95,75 1/4,,,33,45,87,21 3/4,31,81 3/4,,
§ 1 ст. 7 Межевой сбор,С оседлых инородцев,19,82,19,82,,,45,27,19,82,45,94,,
§ 1 ст. 7 Межевой сбор,"С купцов и мещан, проживающих в селениях",,67 1/2,,67 1/2,,,1,77,,67 1/2,1,77,,
§ 1 ст. 7 Межевой сбор,С кочевых инородцев,3,92,3,92,,,202,95,3,92,202,29,,
§ 1 ст. 7 Межевой сбор,Итого,2386,87,2386,87,,,3058,74,2240,51,3059,50 1/4,76,38 1/2
