Поступило_р,Поступило_к,Зачтено_р,Зачтено_к,Исключено_р,Исключено_к,ИТОГО_р,ИТОГО_к,БудЛет_р,БудЛет_к,НедоимкаОтчет_р,НедоимкаОтчет_к,НедоимкаСлед_р,НедоимкаСлед_к,НедоимкаВсего_р,НедоимкаВсего_к,ДругГуб_р,ДругГуб_к,Примечание
*1473,20 1/4,385,79 3/4,,,231859,1/2,1207,71 1/4,33313,25 1/4,4667,91,37981,4 1/4,,,
*0971,57 1/4,44,21,,,31015,78 1/4,79,89 1/4,119868,92,,,119868,92,,,
*027,28 3/4,1,37 3/4,,,1028,66 1/2,10,36 3/4,4418,33 3/4,,,4418,33 3/4,,,
*49,92,,,,,,149,92,,,472,36 1/2,,,472,36 1/2,,,
6804,48 1/2,206,86 1/2,,,17011,35,232,92,97778,89 1/2,,,97778,89 1/2,,,
*834,32 1/2,309,38 1/4,,,12143,71 1/4,502,53 1/4,73063,78 1/4,,,73063,78 1/4,,,
*2260,79 1/4,947,63 1/4,,,293208,43,2033,42 1/2,328915,54 3/4,4667,91,333583,45 3/4,,,
*447,51,6,22,,,16458,73,,,1577,73 1/4,3229,24,4806,97 1/4,,,
*536,77 1/2,21,91 1/2,,,2558,69,21,29,456,14 1/2,76,38 1/2,532,53,,,
*16,48 1/2,7,28,,,423,76 1/2,5,98 1/2,1411,78 1/4,,,1411,78 1/4,,,
19,21 1/2,,5,,,19,17 1/2,,,37,1/2,,,37,1/2,,,
20,35 1/2,,6,,,20,41 1/4,,37 1/2,98,62 1/4,,,98,62 1/4,,,
44,36,1,77 1/2,,,46,13 1/2,,28 1/2,19,62 1/2,,,19,62 1/2,,,
1,37 1/2,,3,,,1,40 1/2,,,1,4,,,1,4,,,
125,21,,,,,,125,21,,2,81,,,,81,,,,
3163,68 1/4,31,11,,,3194,79 1/4,27,95 1/2,2105,22,76,38 1/2,2181,60 1/2,,,
