В округах,Зимою,Весною,Летом,Осенью
,р. к.,р. к.,р. к.,р. к.
Красноярском:,,,
Муки ржаной,"—31,"—35,"—35,"—35
пшеничной,"—54,"—55,"—55,"—58
Овса,"—35,"—45,"—38,"—33
Енисейском:,,,
Муки ржаной,"—41,"—42,"—37,"—44
Муки пшеничной,"—70,"—70,"—55,"—60
Овса,"—40,"—40,"—40,"—40
Канском:,,,
Муки ржаной,"—20,"—20,"—20,"—20
пшеничной,"—35,"—35,"—35,"—35
Овса,"—25,"—25,"—25,"—25
Ачинском:,,,
Муки ржаной,"—35,"—35,"—30,"—30
пшеничной,"—65,"—70,"—60,"—60
Овса,"—40,"—45,"—35,"—40
Минусинском:,,,
Муки ржаной,"—23,"—25 1/2,"—25 1/2,"—28
пшеничной,"—36,"—37,"—41,"—38
Овса,"—24,"—31,"—30,"—30 1/2
Усинском пограничном:,,,
Муки ржаной,п р о д а ж и   н е   п р о и з в о д и л о с ь,,
пшеничной,п р о д а ж и   н е   п р о и з в о д и л о с ь,,
Овса,п р о д а ж и   н е   п р о и з в о д и л о с ь,,
