Наименование преступлений,Число преступлений и дел,Число осужденных м.,Число осужденных ж.,Дворян потомственных м.,Дворян потомственных ж.,Дворян личных м.,Дворян личных ж.,Почетных граждан и купцов м.,Почетных граждан и купцов ж.,Духовного звания м.,Духовного звания ж.,Мещан м.,Мещан ж.,Крестьян м.,Крестьян ж.
О краже 1644–1664,282,280,45,0,0,3,1,1,0,3,0,30,10,150,25
О смертоубийстве 449–1471,130,129,30,0,0,1,1,1,0,0,0,6,3,84,22
О самоубийстве 1472–1476,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
О преступлениях детей против родителей и по другим совестным делам 1591–1592,209,228,2,0,0,0,0,0,0,1,0,58,0,153,2
О преступлениях против союза родственного 1593–1597,3,3,2,0,0,0,0,1,1,0,0,0,1,2,0
О грабеже 1637–1643,84,99,6,0,0,0,0,0,0,1,0,15,4,56,5
Об истреблении и повреждении чужого имущества 1616–1625,3,3,0,0,0,0,0,0,0,0,0,2,0,1,0
О зажигательстве 1606–1615,40,45,1,0,0,0,0,0,0,0,0,5,0,25,1
О происшествиях,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
О преступлениях и проступках по службе государственной и общественной 329–505,66,173,0,5,0,13,0,4,0,1,0,4,0,116,0
О нарушении постановлений об актах состояний 1441–1445,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
О преступлениях против чести и целомудрия женщин 1523–1533,75,103,1,0,0,1,0,0,0,0,0,5,0,77,1
Об оскорблении и явном неуважении к присутственным местам и чиновникам при отправлении должности 276–288,35,36,8,2,1,1,0,0,0,0,0,12,0,15,6
О нарушении постановлений о питейном сборе 665–714,67,62,19,3,0,1,0,0,0,0,0,18,3,25,11
О мошенничестве 1665–1676,18,22,0,0,0,0,0,2,0,0,0,8,0,10,0
О сопротивлении распоряжениям правительства и неповиновении установленным от оного властям 262–275,20,121,4,1,0,0,0,0,0,0,0,3,1,96,3
О нарушении уставов монетных 556–578,13,20,5,0,0,0,0,0,0,0,0,2,0,11,5
