Наименование преступления,Водворяемых рабочих: м.,Водворяемых рабочих: ж.,Военного звания: м.,Военного звания: ж.,Иностранных подданных: м.,Иностранных подданных: ж.,Инородцев: м.,Инородцев: ж.,Поселенцев: м.,Поселенцев: ж.,Ссыльно-каторжных: м.,Ссыльно-каторжных: ж.,Ниже 17 лет: м.,Ниже 17 лет: ж.,17-20 лет: м.,17-20 лет: ж.,21-30 лет: м.,21-30 лет: ж.,31-40 лет: м.,31-40 лет: ж.,41-50 лет: м.,41-50 лет: ж.,51-60 лет: м.,51-60 лет: ж.,Свыше 60 лет: м.,Свыше 60 лет: ж.
О краже 1644–1664,0,0,9,3,0,0,4,0,80,6,0,0,3,2,16,3,73,10,82,8,56,12,30,8,20,2
О смертоубийстве 449–1471,0,0,3,2,0,0,5,1,28,0,0,0,0,1,8,2,38,11,49,9,20,2,11,4,3,1
О самоубийстве 1472–1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
О преступлениях детей против родителей и по другим совестным делам 1591–1592,0,0,9,0,0,0,0,0,7,0,0,0,4,1,61,0,101,1,56,0,4,0,2,0,0,0
О преступлениях против союза родственного 1593–1597,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0
О грабеже 1637–1643,0,0,1,0,0,0,0,0,26,1,0,0,2,0,8,1,32,2,22,0,19,1,14,2,2,0
Об истреблении и повреждении чужого имущества 1616–1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
О зажигательстве 1606–1615,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,9,1,11,0,15,0,5,0,3,0
О происшествиях,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
О преступлениях и проступках по службе государственной и общественной 329–505,0,0,5,0,0,0,10,0,15,0,0,0,0,0,1,0,20,0,68,0,47,0,17,0,20,0
О нарушении постановлений об актах состояний 1441–1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
О преступлениях против чести и целомудрия женщин 1523–1533,0,0,4,0,0,0,3,0,13,0,0,0,2,0,13,0,49,1,24,0,12,0,2,0,1,0
Об оскорблении и явном неуважении к присутственным местам и чиновникам при отправлении должности 276–288,0,0,0,
