Наименование преступления,Водворяемых рабочих: М.,Водворяемых рабочих: Ж.,Военного звания: М.,Военного звания: Ж.,Иностранных подданных: М.,Иностранных подданных: Ж.,Инородцев: М.,Инородцев: Ж.,Поселенцев: М.,Поселенцев: Ж.,Ссыльно-каторжных: М.,Ссыльно-каторжных: Ж.,Ниже 17 лет: М.,Ниже 17 лет: Ж.,17-20 лет: М.,17-20 лет: Ж.,21-30 лет: М.,21-30 лет: Ж.,31-40 лет: М.,31-40 лет: Ж.,41-50 лет: М.,41-50 лет: Ж.,51-60 лет: М.,51-60 лет: Ж.,Свыше 60 лет: М.,Свыше 60 лет: Ж.
О возбуждении к начатию или продолжению противозаконных исков...,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,5,1,11,2,11,2,4,1,3,0
О преступлениях и проступках по договорам...,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,4,1,3,0,2,0
О разбое,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,9,0,7,0,8,1,2,0,0,0
О бродяжничестве,0,0,0,0,4,0,0,0,39,1,1,0,0,0,0,1,8,0,9,1,12,0,13,0,8,0
О составлении подложных на жительство видов...,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
О содержании мест для запрещенных игр...,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
О присвоении и утайке чужой собственности...,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,1
О преступлениях против союза брачного,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,2,0,1,0,0,0
О клевете и распространении оскорбительных для чести сочинений...,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,3,0,2,0,5,0,1,0,1,0
О нарушении уст. торговых,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
О нарушении уст. фабричных,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
О противозаконном задержании и заключении,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
О взломе тюрем уводе и побеге...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,0
О нарушении устава горного,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,4,0,3,2,5,0,7,0,0,0
О преступлениях против общественной нравственности...,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,5,1,0,1,4,0,4,0,2,0
О святотатстве,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,3,0,2,0,1,0
О похищении бумаг или вещей из присутственных мест...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
О книгопечатании,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
О преступлениях против веры и постановлений церкви,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,4,2,2,0,0,0
О самовольном присвоении власти...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Об угрозах,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
