Наименование преступления,Водворяемых рабочих м.,Водворяемых рабочих ж.,Военного звания м.,Военного звания ж.,Иностранных подданных м.,Иностранных подданных ж.,Инородцев м.,Инородцев ж.,Поселенцев м.,Поселенцев ж.,Ссыльно-каторжных м.,Ссыльно-каторжных ж.,Ниже 17 лет м.,Ниже 17 лет ж.,17-20 м.,17-20 ж.,21-30 м.,21-30 ж.,31-40 м.,31-40 ж.,41-50 м.,41-50 ж.,51-60 м.,51-60 ж.,Свыше 60 лет м.,Свыше 60 лет ж.
О лжеприсяге 236–240,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,0,2,1,5,1,3,0,1,0
О нанесении увечий ран и других повреждений здоровья 1477–1496,0,0,3,1,0,0,3,3,10,0,0,0,0,0,7,0,32,4,38,5,22,0,10,1,5,0
О нарушении уставов почтового и телеграфного 1098–1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
О непосредственных личных оскорблениях 1533–1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,1,0,0,0
О нарушении правил общественных выборов 1424–1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Итого по уложению о наказаниях,2,0,51,11,6,0,49,7,298,11,1,0,20,5,143,8,457,50,477,41,348,32,173,22,88,4
О краже 169–172,2,0,8,6,1,0,2,0,9,4,0,0,1,3,16,1,50,7,32,13,17,3,22,4,5,1
Об оскорблении чести 130–138,1,0,7,0,1,1,0,0,2,0,0,0,1,0,1,0,10,1,26,6,16,6,6,1,2,1
О мошенничестве обманах и присвоении чужого имущества 173–181,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,5,0,16,4,5,0,2,1,0,1
Об угрозах и насилии 139–142,0,0,6,1,0,0,0,0,3,0,0,0,0,0,2,0,9,2,13,4,15,2,3,1,1,1
О нарушении устава строительного 65–87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,1,1,2
О нарушении правил осторожности от пожаров 88–98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,2,1,2,0
О нарушении устава о паспортах 58–64,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,2,1,3,1,4,1,3,0,2,0
О нарушении порядка и спокойствия 37–51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,3,1,2,0,0,0,0,0
О проступках против народного здравия 102–116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,1,0,1
О преступлениях против порядка управления 29–34,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,9,2,6,3,3,0,2,0
О проступках против личной безопасности 117–129,0,0,0,0,0,0,14,2,0,0,0,0,0,0,2,0,2,1,1,0,0,1,2,0,0,0
О самовольном пользовании чужим имуществом и повреждении оного 145–153,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,5,1,0,1,4,0,4,0,2,0
О похищении и повреждении чужого леса 154–168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,3,0,2,0,1,0
Итого по мировому уставу,3,0,26,7,1,2,7,0,20,5,0,0,2,3,22,1,91,14,111,32,75,18,46,10,15,7
Всего,5,0,77,18,7,2,52,7,318,16,1,0,22,8,165,9,548,64,588,73,423,50,219,32,103,11
