Города и округа,В зимние месяцы: Число пожаров,В зимние месяцы: Число погоревших дворов,В зимние месяцы: Сумма убытков,В весенние месяцы: Число пожаров,В весенние месяцы: Число погоревших дворов,В весенние месяцы: Сумма убытков
В г. Красноярске,8,4,3575,2,2,900
округе оного,27,29,1991-30,29,31,3595-56
г. Енисейске,2,1,200,0,0,0
округе оного,23,17,880-83,15,14,469
г. Канске,1,1,75,0,0,0
округе оного,15,15,727-20,14,30,6045
г. Ачинске,1,0,100,0,0,0
округе оного,10,9,301-60,8,8,490
г. Минусинске,2,2,70,1,1,200
округе оного,29,30,612-50,16,17,393-22
Усинском пограничном округе,0,0,0,0,0,0
Туруханском крае,0,0,0,0,0,0
Итого,118,108,8533-43,85,103,12092-78
