Летние: Число пожаров,Летние: Погоревших дворов,Летние: Сумма убытков,Осенние: Число пожаров,Осенние: Погоревших дворов,Осенние: Сумма убытков,Всего в год: Число пожаров,Всего в год: Погоревших дворов,Всего в год: Сумма убытков,Причина: Дурное устройство печей,Причина: Неосторожность,Причина: Поджог,Причина: Другие причины
2,1,5000,2,6,14700,14,13,24175,6,3,1,4
11,11,840,45,45,2128-55,112,116,8555-41,4,44,18,46
0,0,0,0,0,0,2,1,200,0,2,0,0
11,11,261,18,14,242-91,67,56,1853-74,11,47,0,9
0,0,0,0,0,0,1,1,75,0,1,0,0
8,8,850,8,9,928,45,62,8550-20,6,38,1,0
0,0,0,0,0,0,1,0,100,1,0,0,0
5,5,2665,13,7,1717-40,36,29,5174,4,9,5,18
1,1,10,1,1,15,5,5,295,3,1,0,1
3,62,18409-70,3,12,891,51,121,20306-42,4,40,0,7
1,1,50,0,0,0,1,1,50,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
42,100,28085-70,90,94,20622-86,335,405,69334-77,39,186,25,85
