Города и округа,Случаи детоубийства новорожденных,Случаи смертоубийства,Случаи итого,Жертвы детоубийства м.,Жертвы детоубийства ж.,Жертвы смертоубийства м.,Жертвы смертоубийства ж.,Жертвы итого м.,Жертвы итого ж.,Самоубийство м.,Самоубийство ж.,Скоропостижно от болезни м.,Скоропостижно от болезни ж.,Скоропостижно от пьянства м.,Скоропостижно от пьянства ж.,Скоропостижно от неизвестных причин м.,Скоропостижно от неизвестных причин ж.,Скоропостижно итого м.,Скоропостижно итого ж.
В г. Красноярске,1,4,5,1,0,4,0,5,0,0,2,0,0,1,0,0,0,1,0
округе оного,4,16,20,3,1,12,4,15,5,3,1,0,0,9,2,0,0,9,2
г. Енисейске,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,0
округе оного,0,5,5,0,0,5,0,5,0,1,0,4,1,3,0,4,0,11,1
г. Канске,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
округе оного,1,21,22,1,0,17,4,18,4,4,2,0,0,3,1,0,0,3,1
г. Ачинске,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
округе оного,0,10,10,0,0,7,3,7,3,2,0,0,0,4,0,0,0,4,0
г. Минусинске округе оного,2,14,16,2,0,10,4,12,4,4,1,0,0,4,1,0,0,4,1
Усинском пограничном округе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
г. Туруханске Туруханском крае,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
На частных золотых промыслах,0,7,7,0,0,7,0,7,0,2,0,4,1,2,0,10,4,16,5
Итого,8,78,86,7,1,63,15,70,16,18,6,8,2,29,4,14,4,51,10
