Территория,Найденные мертвые тела М,Найденные мертвые тела Ж,Убито градом М,Убито градом Ж,Задавлено и упало М,Задавлено и упало Ж,Сгорело и убито на пожарах М,Сгорело и убито на пожарах Ж,Умерло от угара М,Умерло от угара Ж,Замерзло М,Замерзло Ж,Утонуло М,Утонуло Ж,Укушено до смерти зверями М,Укушено до смерти зверями Ж,Умерло от других случайностей М,Умерло от других случайностей Ж,Итого случайных смертей М,Итого случайных смертей Ж,Всего умерло М,Всего умерло Ж
"В г. Красноярске",1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,3,5,3,12,5
"округе оного",3,2,2,0,1,0,5,0,3,0,2,1,7,2,0,0,28,15,48,18,78,28
"г. Енисейске",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,6,0,11,0
"округе оного",4,0,0,0,2,0,2,2,0,0,1,0,6,0,0,0,4,1,15,3,36,4
"г. Канске",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,4,1,4,1
"округе оного",0,0,3,0,3,0,0,0,1,0,1,0,10,2,0,0,29,5,47,7,72,14
"г. Ачинске",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,4,0,5,0
"округе оного",0,0,2,0,4,0,0,0,1,0,0,0,8,7,0,0,27,9,42,16,55,19
"г. Минусинске округе оного",1,2,2,0,2,0,2,0,1,0,0,0,19,12,0,0,22,9,48,21,69,29
"Усинском пограничном округе",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1
"г. Туруханске Туруханском крае",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"На частных золотых промыслах",0,0,0,0,1,0,3,0,0,0,1,0,7,2,0,0,0,0,12,2,37,7
"Итого",9,4,9,0,14,0,12,3,7,0,6,1,66,25,0,0,118,43,232,72,380,108
