,В городах:,,В округах:,
,муж.,жен.,муж.,жен.
I. Дворян,,,,
потомственных,334,184,179,159
личных,973,989,163,191
II. Духовенства православного:,,,,
монашествующего,18,56,38,81
белого,66,—,333,—
других исповеданий,4,—,2,—
церковнослужителей и семейств духовенства,113,143,325,690
воспитанников духовного училища,149,93,7,1
III. Городских сословий: почетных граждан,,,,
потомственных,105,77,40,36
личных,102,172,57,63
купцов,419,387,150,139
мещан,19 809,18 136,3 342,2 410
IV. Сельских сословий:,,,,
крестьян,3 778,3 971,181 394,180 493
V. Военных:,,,,
регулярных войск,1 617,—,154,—
иррегулярных,373,—,2 399,—
