"находящихся в продолжительном отпуску",—,—,98,—
"состоящих в запасе армии",1 407,—,8 391,—
"отставных нижних чинов, солдатских жен, сыновей и дочерей",746,1 142,3 747,9 107
"нижних чинов на казенном содержании",—,—,46,—
"VI. Разночинцев",1 408,457,1 672,1 445
"VII. Иностранных подданных",73,23,9,6
"VIII. Инородцев",86,55,26 136,25 797
"IX. Ссыльных всех категорий —",1 142,140,46 550,8 095
"Пришедших с ссыльными по воле",42,52,2 577,4 783
"Итого:",32 766,26 077,277 810,233 496
"Всего в губернии:",310 
