<Капитал>,Оставалось,,В приход,,В расход,,Осталось,
,руб.,коп.,руб.,коп.,руб.,коп.,руб.,коп.
Капитала 1-го разряда,,,,,,,,
Принадлежащих собственно бывшему Приказу общественного призрения,116 882,7 1/2,54 764,3 1/2,71 917,20 1/2,99 728,90 1/2
На предназначенное употребление:,,,,,,,,
Капитала 2-го разряда,,,,,,,,
1) на постройку больниц ведомства общественного призрения,245 198,1/2,8 787,52,20 520,70 1/2,233 464,82
2) пожертвованного инородцами на уничтожение сифилиса в Ачинском и Минусинском округах,3 697,81,—,—,—,—,3 697,81
3) кружечного сбора в пользу богоугодных заведений,1 223,77 1/4,111,8,—,—,1 334,85 1/4
Капитала 3-го разряда,,,,,,,,
Апелляционного,772,46 1/2,389,18,568,44,593,20 1/2
