Название волостей,На какое число душ м.п. участок образован,До 1897 г. Семей,До 1897 г. Душ Мужского,До 1897 г. Душ Женского,Семей вышедших в отчет Всего,Семей вышедших в отчет Прибывших С разрешения,Семей вышедших в отчет Прибывших Самовольно,Черниговской,Тамбовской,Рязанской,Пензенской,Псковской,Витебской,Ковенской,Казанской,Енисейской,Тобольской,Полтавской,Харьковской,Курской,Херсонской
По 1-му участку Ачинского округа Волости:,,,,,,,,,,,,,,,,,,,,
Больше-Улуйская,1511,216,685,633,30,21,9,3,2,3,2,1,16,1,1,1,—,—,—,—,—
Покровская,1978,603,1609,1431,6,5,1,4,—,—,—,—,—,—,—,—,1,1,—,—,—
Назаровская,4737,1031,3633,3032,24,24,—,1,4,1,—,—,6,—,—,—,—,8,1,1,2
Подсосенская,577,76,264,247,9,9,—,4,—,—,1,—,—,—,—,—,—,3,—,1,—
Причислено к обществам крестьян-старожилов,—,92,285,244,41,18,23,11,—,—,—,2,—,—,—,—,—,3,—,17,2
Итого,8853,1918,6475,5387,110,77,33,23,6,4,3,3,22,1,1,1,1,15,1,19,4
По 2-му участку Ачинского округа Волости:,,,,,,,,,,,,,,,,,,,,
Шарыповская,1165,243,895,820,21,20,1,—,1,—,—,—,—,—,—,—,—,—,—,20,—
Ужурская,2751,320,1088,954,17,16,1,4,—,1,1,—,—,—,—,—,—,—,—,4,1
Тюльковская,1485,174,510,473,26,24,2,10,1,2,—,—,—,—,—,3,—,—,—,1,—
Даурская,522,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Балахтинская,1077,—,—,—,1,1,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—
Причислено к обществам крестьян-старожилов,—,29,87,86,9,3,6,—,1,—,1,—,—,—,1,—,—,—,—,4,—
Итого,7000,766,2580,2333,74,64,10,14,3,3,2,—,1,—,1,3,—,—,—,29,1
А всего,15853,2684,9055,7720,184,141,43,37,9,7,5,3,23,1,2,4,1,15,1,48,5
