НАЗВАНИЕ ОКРУГА и волости,Число участков,Площадь земли в десятинах Удобной,Площадь земли в десятинах Неудобной,Площадь земли в десятинах Всего,На какое число душ м. п. образован участок
Канский округ,,,,,
Ибрейская волость: переселенческих участков,5,12454.42,1158.74,13613.16,795
Ибрейская волость: запасных,2,5808.02,380.78,6188.8,—
Рыбинская волость: переселенческий,1,2756.8,319.37,3076.17,175
Тинская волость: переселенческих,5,14395.37,2342.6,16737.97,924
Тинская волость: запасных,2,4748,258.87,5006.87,—
Тасеевская волость: переселенческих,7,19055.13,2509.02,21564.15,1210
Тасеевская волость: запасных,4,8574.79,753.75,9328.54,—
Устьянская волость: переселенческих,16,46675.32,4940.61,51615.93,2985
Устьянская волость: запасных,6,7932.2,1260.38,9192.58,—
Минусинский округ,,,,,
Новоселовская волость: переселенческих,5,16951.07,2166.33,19117.4,1096
Новоселовская волость: запасных,4,11327.56,1216.1,12543.66,—
Абаканская волость: переселенческих,14,63720.27,4743.53,68463.8,4140
