Название ОКРУГА и волости,Число участков,Удобной,Неудобной,Всего,На какое число душ м. п. образован участок
запасных,4,10947.7,4103.15,15050.22,—
Идринская волость: переселенческих,3,11607.95,3837.8,15445.8,748
Идринская волость: запасных,2,3948.51,172.3,4118.81,—
Тесинская волость: переселенческих,2,10540.39,1723.87,12264.26,686
Сагайская волость: переселенческих,2,4581.5,130.56,4711.81,296
Сагайская волость: запасных,1,1182.62,33.28,1215.9,—
Курагинская волость: запасных,1,451.4,31.3,482.7,—
Итого по 2 округам: переселенческих,69,202737.77,23871.48,226609.25,13055
Итого по 2 округам: запасных,26,54920.17,8209.01,63130.08,—
А всего,86,257657.94,32081.39,289739.33,13055
