ГОРОДА И ОКРУГА,Законнорожденных муж.,Законнорожденных жен.,Законнорожденных обоего пола
В г. Красноярске,527,475,1002
В г. Енисейске,148,171,319
В г. Канске,241,235,476
В г. Минусинске,236,227,463
В г. Ачинске,106,98,204
В г. Туруханском крае,10,11,21
Итого в городах,1268,1217,2485
В Красноярском округе,1751,1692,3393
В Енисейском округе,1255,1212,2467
В Канском округе,2090,2052,4142
В Минусинском округе,4412,4304,8716
В Ачинском округе,2831,2628,5459
В Туруханском крае,132,154,286
В Усинском пограничном округе,30,34,64
Итого в округах,12501,12026,24527
Всего в губернии,13769,13243,27012
