Наименование окладных сборов разрядов плательщиков и уездов,Недоимок К 1 января 1897 г. числилось Отсроченных и рассроченных,Недоимок К 1 января 1897 г. числилось Срочных,Недоимок Причислено Отсроченных и рассроченных,Недоимок Причислено Срочных,Недоимок Исключено Отсроченных и рассроченных,Недоимок Исключено Срочных,За причислениями и исключениями причиталось к поступлению Всего,За причислениями и исключениями причиталось к поступлению В том числе Отсроченных и рассроченных,За причислениями и исключениями причиталось к поступлению В том числе Срочных,Оклада
Подати и окладные платежи,,,,,,,,,,
§ 1 ст. 7. I. Подушная подать,,,,,,,,,,
С крестьян-старожил,17335-66 3/4,6087-12 1/2,—,6276-49 1/2,4698-32 3/4,2798-83,22202-13,12637-34,9564-79,111237-13 3/4
— из ссыльных,—,4090-6 3/4,—,436-95 1/2,—,2813-15,1713-87 1/4,—,1713-87 1/4,4534-51 1/2
— казаков,33-23 1/2,243-4,—,13-98,1-22,240-64,48-39 1/2,32-1 1/2,16-38,763-27 1/2
— поселенцев половинного оклада,—,52-74 1/2,—,—,—,52-74 1/2,—,—,—,—
— административно-сосланных,—,319-5 3/4,—,124-97,—,88-82 1/4,355-20 1/2,—,355-20 1/2,634-97 3/4
С оседлых инородцев,70-40,134-50 3/4,—,9-72 1/2,9-71,57-91 3/4,147-1/2,60-69,86-31 1/2,1984-97
"С купцов и мещан, проживающих в селениях",—,375-43 1/2,—,82-15,—,345-11 1/2,112-47,—,112-47,138-36 1/2
С кочевых инородцев,—,18-1,—,.-77,—,.-26,18-52,—,18-52,2166-78
С поселенцев,,,,,,,,,,
— полного оклада,—,4356-96 1/2,—,606-92 3/4,—,2523-68 3/4,2440-20 1/2,—,2440-20 1/2,7841-45 1/2
— половинного оклада,—,1181-30 1/4,—,252-65 3/4,—,982-95 3/4,451-1/4,—,451-1/4,2663-5 3/4
Итого,17439-30 1/4,16858-25 1/2,—,7804-63,4709-25 3/4,9904-12 1/2,27488-80 1/2,12730-4 1/2,14758-76,131964-53 1/4
"44 коп. податн. следующей к поступлению в 1897 г. с кочевых и бродячих инородцев",—,9750-42 1/2,—,—,—,—,9750-42 1/2,—,9750-42 1/2,1950-8 1/2
§ 1 ст. 7 Межевой сбор,,,,,,,,,,
С крестьян-старожилов,—,765-77,—,36-71 3/4,—,123-75,678-73 3/4,—,678-73 3/4,2671-41
