Поступило Недоимок,Поступило Оклада,Зачтено Недоимок,Зачтено Оклада,Исключено Недоимок,Исключено Оклада,Всего поступило зачтено и исключено,Будущих лет Недоимок,Будущих лет Оклада,Осталось в недоимках Всего,Осталось в недоимках Отсрочен. и рассроч.,Осталось в недоимках Срочных и оклада отч. года,Всего поступило за другие,Примечания
28-78,34-20,—,4-11,—,—,67-9,—,.-90,771-72 1/2,—,771-72 1/2,—,—
.-55 1/2,18-31 1/2,—,.-1 1/2,—,—,18-87 1/2,—,—,1-83,—,1-83,—,—
.-67 1/2,1-46,—,—,—,—,2-13 1/2,—,.-5 1/2,1-23,—,1-23,—,—
8-86 1/2,8-18,—,.-6,—,—,17-10 1/2,—,.-12,102-83 3/4,—,102-83 3/4,—,—
1-30,43-83 1/2,—,.-5 1/2,—,—,45-19 1/2,—,.-8,3-9,—,3-9,—,—
3-42,.-80,—,.-4 1/2,—,—,4-26 1/2,—,—,27-46 1/2,—,27-46 1/2,—,—
.-1,201-47,—,—,—,—,201-48,—,—,2-91,—,2-91,—,—
449-37,2808-82,—,33-82 3/4,—,—,3292-1 3/4,—,10-22,1325-36 1/4,—,1325-36 1/4,—,—
1000,3370-20,—,—,—,—,4370-20,—,—,2304-44,2304-44,—,—,—
11106-90,231932-21,—,934-37 1/4,—,—,243973-48 1/4,—,1040-10 1/4,49326-64 1/2,25879-26 3/4,23447-37 3/4,—,—
498-46 1/2,3562-69,—,209-13,—,—,4270-28 1/2,—,64-94 1/4,8681-14 1/2,—,8681-14 1/2
