Наименование окладных сборов разрядов плательщиков и уездов,Недоимок К 1 янв. 1897 г. числилось Отсроченных и рассроченных,Недоимок К 1 янв. 1897 г. числилось Срочных,Причислено Отсроченных и рассроченных,Причислено Срочных,Исключено Отсроченных и рассроченных,Исключено Срочных,За причислениями и исключениями причиталось к поступлению Всего,За причислениями и исключениями причиталось к поступлению В том числе Отсроченных и рассроченных,За причислениями и исключениями причиталось к поступлению В том числе Срочных,Оклада
— из ссыльных,—,15844-42 1/4,—,3432-74 1/2,—,3597-54 3/4,15679-62,—,15679-62,4304-80 1/2
— казаков,—,2-14 3/4,—,13-64 1/2,—,1-25,14-54 1/4,—,14-54 1/4,—
— переселенцев половинного оклада,—,—,—,—,—,—,—,—,—,—
С оседлых инородцев,—,32-65,—,—,—,29-81 1/2,2-83 1/2,—,2-83 1/2,127-.
"С купцов и мещан, проживающих в селениях",—,733-47 1/4,—,486-60 1/4,—,354-64,865-43 1/2,—,865-43 1/2,139-63 3/4
С кочевых инородцев,—,40-94 1/4,—,6-42,—,14-35,33-1 1/4,—,33-1 1/4,17-24
С переселенцев полного оклада,—,29517-6 1/2,—,2110-64,—,13011-18 1/2,18616-52,—,18616-52,8011-17 1/4
"С удобных земель, принадлежащих сельским обществам",—,3684-78,—,213-92,—,926-35 3/4,2972-34 1/4,—,2972-34 1/4,123518-5 3/4
С прочих сословий,,,,,,,,,,
С мещан городов,—,19017-3,—,207-73,—,2377-84 3/4,16846-91 1/4,—,16846-91 1/4,15492-65
"С удобных земель, принадлежащих городам",—,11-33,—,—,—,9-.,2-33,—,2-33,522-88
25 % сбора с налога недвижимых имуществ городов,—,205-86 1/4,—,—,—,—,205-86 1/4,—,205-86 1/4,4500-.
Пеня с 25 % сбора,—,—,—,23-87,—,—,23-87,—,23-87,—
Итого,—,78169-91 3/4,—,8584-43 1/2,—,23710-49 1/2,63043-85 3/4,—,63043-85 3/4,171830-36
Частная повинность,,,,,,,,,,
С крестьян-старожилов,—,2367-70 3/4,—,2389-86 1/2,—,394-59 1/2,4362-97 3/4,—,4362-97 3/4,3-64
— из ссыльных,—,2473-71 1/4,—,1416-76,—,850-2 1/2,3040-44 3/4,—,3040-44 3/4,4-47
— казаков,—,414-25 3/4,—,—,—,410-67 3/4,3-58,—,3-58,.-1/2
— переселенцев половинного оклада,—,..-48,—,1-1 1/2,—,
