Водворяемо-рабочих М,Водворяемо-рабочих Ж,Военных М,Военных Ж,Инородцев М,Инородцев Ж,Иностранных подданных М,Иностранных подданных Ж,Поселенцев М,Поселенцев Ж,Ссыльно-каторжных М,Ссыльно-каторжных Ж,Ниже 17 лет М,Ниже 17 лет Ж,17-20 М,17-20 Ж,21-30 М,21-30 Ж,31-40 М,31-40 Ж,41-50 М,41-50 Ж,51-60 М,51-60 Ж,Свыше 60 лет М,Свыше 60 лет Ж
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,1,—,—,—,1,—
—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,1,1,—,—,—,—,—,—,1,—,1,1,—,—,1,—,—,—
—,1,—,—,—,—,—,—,1,1,—,—,—,—,—,—,1,2,5,1,3,1,2,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,1,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,1,—,1,—,1,—
—,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,1,—,—,—,—
—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—
—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,1,4,—,1,—,—,—,—,—
—,—,—,—,—,—,—,—,1,—,—,—,—,—,1,—,—,—,—,—,—,—,2,—,1,—
—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,1,—,—,—,—,—,—,—
