Наименование преступлений,Число преступлений,Число осужденных М.,Число осужденных Ж.,Дворян потомственных М.,Дворян потомственных Ж.,Дворян личных М.,Дворян личных Ж.,Почетных граждан и купцов М.,Почетных граждан и купцов Ж.,Духовного звания М.,Духовного звания Ж.,Мещан М.,Мещан Ж.,Крестьян М.,Крестьян Ж.
О смертоубийстве 1449–1471,22,26,4,—,—,—,—,1,—,—,—,3,—,10,2
О нанесении увечья, ран и др. повреждений здоровью 1477–1496,12,31,—,—,—,1,—,1,—,—,—,9,—,18,—
О непосредственных личных оскорблениях 1533–1534,3,3,1,—,—,—,—,—,—,—,—,1,—,2,1
О клевете и распространении оскорбительных для чести, сочинений, оскорбления или слухов 1535–1539,3,3,1,—,—,—,—,1,—,—,—,1,—,—,—
О преступлениях против союза брачного 1549–1589,2,1,2,—,—,—,—,2,—,—,—,—,—,—,1
О преступлениях детей против родителей и по другим совестным делам 1591–1592,3,3,1,—,—,—,—,—,—,—,—,3,1,—,—
О зажигательстве 1606–1615,2,2,—,—,—,—,—,—,—,—,—,—,—,1,—
О разбое 1627–1636,10,17,2,—,—,—,—,—,—,—,—,2,—,8,2
О грабеже 1637–1643,14,15,2,—,—,—,—,—,—,—,—,2,1,6,—
О краже 1644–1664,57,75,2,—,—,—,—,—,—,—,—,2,—,44,1
О мошенничестве 1665–1676,1,1,—,—,—,—,—,—,—,—,—,—,—,—,—
Итого по уложению о наказаниях,166,217,22,1,—,1,—,4,—,—,—,28,2,113,12
По Мировому уставу:,,,,,,,,,,,,,,,
О преступлениях против порядка управления 29–34,26,52,4,—,—,1,—,—,—,—,—,15,2,33,2
О нарушении порядка и спокойствия 37–51,26,27,8,—,—,1,—,—,—,—,—,8,2,14,6
О нарушении устава о паспортах 58–64,10,8,4,—,—,—,—,—,1,—,—,1,2,4,1
О нарушении устава строительного 65–87,8,16,—,—,—,2,—,1,—,—,—,3,—,10,—
О нарушении правил осторожности от пожаров 88–98,3,4,—,—,—,—,—,—,—,—,—,—,—,4,—
О проступках против народного здравия 102–116,7,6,2,—,—,—,—,—,—,—,—,5,2,1,—
О порядках против личной безопасности 117–129,10,10,2,2,—,—,—,2,—,—,—,4,1,1,1
Об оскорблении чести 130–138,64,65,17,—,—,5,—,3,1,—,—,33,4,19,10
Об угрозах и насилии 139–142,30,30,6,—,—,1,—,3,1,1,—,14,3,7,2
О самовольном пользовании чужим имуществом и повреждении оного 145–153,7,9,2,—,—,—,—,2,—,—,—,3,—,4,2
О похищении и повреждении чужого леса 154–168,18,26,—,—,—,—,—,3,—,—,—,—,—,21,—
