Города и округа,В зимние месяцы Число пожаров,В зимние месяцы Число погоревших дворов,В зимние месяцы Сумма убытков,В весенние месяцы Число пожаров,В весенние месяцы Число погоревших дворов,В весенние месяцы Сумма убытков
В г. Красноярске,2,1,500,3,3,2200
округе оного,24,26,2343-40,22,22,5261
г. Енисейске,2,2,2700,2,2,4000
округе оного,25,16,26947,7,7,12391
г. Канске,4,4,315,-,-,
округе оного,19,20,2032-20,4,4,220
г. Ачинске,-,-,-,-,-,-
округе оного,15,15,673,7,9,1913
г. Минусинске,-,-,-,1,1,200
округе оного,26,26,2488,18,19,598-50
У
