ГОРОДА И ОКРУГА,Детоубийство новорожденных (случаев),Смертоубийство (случаев),Итого (случаев),Жертвы детоубийства М.,Жертвы детоубийства Ж.,Жертвы смертоубийства М.,Жертвы смертоубийства Ж.,Жертвы итого М.,Жертвы итого Ж.,Самоубийство М.,Самоубийство Ж.,Скоропостижно умершие от болезни М.,Скоропостижно умершие от болезни Ж.,Скоропостижно умершие от пьянства М.,Скоропостижно умершие от пьянства Ж.,Скоропостижно умершие от неизвестных причин М.,Скоропостижно умершие от неизвестных причин Ж.,Скоропостижно умершие итого М.,Скоропостижно умершие итого Ж.
В г. Красноярске,1,28,29,1,—,28,—,29,—,16,10,—,—,8,—,—,—,8,—
округе оного,—,17,17,—,—,14,3,14,3,4,—,7,—,1,—,26,—,34,2
г. Енисейске,—,3,3,—,—,3,—,3,—,4,—,1,—,4,—,3,—,8,—
округе оного,—,5,5,—,—,5,—,5,—,2,—,5,—,—,—,6,—,11,—
г. Канске,—,7,7,—,—,7,—,7,—,2,—,—,—,5,—,—,—,5,—
округе оного,—,17,17,—,—,14,3,14,3,5,—,—,—,10,1,—,—,10,1
г. Ачинске,1,17,18,1,—,17,—,18,—,4,2,—,—,2,—,—,—,2,—
округе оного,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
г. Минусинске,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—
округе оного,1,17,18,1,—,17,—,18,—,10,1,—,—,3,—,—,—,3,—
Усинском пограничном округе,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
г. Туруханске и Туруханском крае,Сведений не,,,,,,,,,,,,,,,,,,,
На частных золотых промыслах,—,2,2,—,—,2,—,2,—,—,—,—,—,—,—,10,—,10,—
Итого,3,113,116,3,—,107,6,110,6,48,13,13,—,33,1,45,—,91,3
